tree_ID,bloc,treatment,genus,species,Note,Column1,doy,chl1,chl2,chl3,percent,greenleafcover,lastleavesfell
Acne_CoolS/CoolF_B1_R1,1,CoolS/CoolF,acer,acer_negundo,,80,245,26.2,5.1,30.7,40,,
Acne_CoolS/CoolF_B1_R2,1,CoolS/CoolF,acer,acer_negundo,,70,245,26,2.4,15.5,60,,
Acne_CoolS/CoolF_B1_R3,1,CoolS/CoolF,acer,acer_negundo,,70,245,4.7,17.4,18.3,50,,
Acne_CoolS/CoolF_B1_R4,1,CoolS/CoolF,acer,acer_negundo,,70,245,33.6,22.8,13.9,50,,
Acne_CoolS/CoolF_B1_R5,1,CoolS/CoolF,acer,acer_negundo,,70,245,7.7,17.2,8.9,60,,
Acne_CoolS/CoolF_B2_R6,2,CoolS/CoolF,acer,acer_negundo,,90,245,16.9,23.7,24.6,80,,
Acne_CoolS/CoolF_B2_R7,2,CoolS/CoolF,acer,acer_negundo,,70,245,23.4,22.2,21.6,60,,
Acne_CoolS/CoolF_B2_R8,2,CoolS/CoolF,acer,acer_negundo,,80,245,6.7,7.7,28.7,50,,
Acne_CoolS/CoolF_B2_R9,2,CoolS/CoolF,acer,acer_negundo,,80,245,21.5,22.1,24.3,70,,
Acne_CoolS/CoolF_B2_R10,2,CoolS/CoolF,acer,acer_negundo,,80,245,22.2,22.8,24.9,70,,
Acne_CoolS/CoolF_B3_R11,3,CoolS/CoolF,acer,acer_negundo,,80,245,30,22.9,21.2,60,,
Acne_CoolS/CoolF_B3_R12,3,CoolS/CoolF,acer,acer_negundo,,60,245,37.2,40.2,25.8,50,,
Acne_CoolS/CoolF_B3_R13,3,CoolS/CoolF,acer,acer_negundo,,70,245,27.5,14,26.9,50,,
Acne_CoolS/CoolF_B3_R14,3,CoolS/CoolF,acer,acer_negundo,,70,245,22.4,22.5,11.5,60,,
Acne_CoolS/CoolF_B3_R15,3,CoolS/CoolF,acer,acer_negundo,,80,245,26.8,27.2,7.7,70,,
Acne_CoolS/CoolF_B1_R1_nitro,1,CoolS/CoolF_nitro,acer,acer_negundo,,70,245,31.6,20,25,70,,
Acne_CoolS/CoolF_B1_R2_nitro,1,CoolS/CoolF_nitro,acer,acer_negundo,,80,245,25.8,10.7,1.2,40,,
Acne_CoolS/CoolF_B1_R3_nitro,1,CoolS/CoolF_nitro,acer,acer_negundo,,70,245,27.8,25.8,12.6,70,,
Acne_CoolS/CoolF_B1_R4_nitro,1,CoolS/CoolF_nitro,acer,acer_negundo,,80,245,0.3,30.2,17.2,60,,
Acne_CoolS/CoolF_B1_R5_nitro,1,CoolS/CoolF_nitro,acer,acer_negundo,,90,245,17.5,36.5,19.1,80,,
Acne_CoolS/CoolF_B2_R6_nitro,2,CoolS/CoolF_nitro,acer,acer_negundo,,80,245,16.5,22.7,17.9,60,,
Acne_CoolS/CoolF_B2_R7_nitro,2,CoolS/CoolF_nitro,acer,acer_negundo,,80,245,15.3,21.9,20.7,50,,
Acne_CoolS/CoolF_B2_R8_nitro,2,CoolS/CoolF_nitro,acer,acer_negundo,,80,245,22.1,23.6,16.3,70,,
Acne_CoolS/CoolF_B2_R9_nitro,2,CoolS/CoolF_nitro,acer,acer_negundo,,70,245,20.4,29.1,20.5,70,,
Acne_CoolS/CoolF_B2_R10_nitro,2,CoolS/CoolF_nitro,acer,acer_negundo,,80,245,19.9,20.9,22.6,70,,
Acne_CoolS/CoolF_B3_R11_nitro,3,CoolS/CoolF_nitro,acer,acer_negundo,,90,245,20.6,25.6,22.2,90,,
Acne_CoolS/CoolF_B3_R12_nitro,3,CoolS/CoolF_nitro,acer,acer_negundo,,70,245,25.8,24.7,21.8,50,,
Acne_CoolS/CoolF_B3_R13_nitro,3,CoolS/CoolF_nitro,acer,acer_negundo,,90,245,35.2,32.4,32.1,90,,
Acne_CoolS/CoolF_B3_R14_nitro,3,CoolS/CoolF_nitro,acer,acer_negundo,,70,245,31.2,27.8,30.3,70,,
Acne_CoolS/CoolF_B3_R15_nitro,3,CoolS/CoolF_nitro,acer,acer_negundo,,80,245,24.9,23,29.1,70,,
Acne_CoolS/WarmF_B1_R1,1,CoolS/WarmF,acer,acer_negundo,,80,245,24.5,25.9,18.6,80,,
Acne_CoolS/WarmF_B1_R2,1,CoolS/WarmF,acer,acer_negundo,,90,245,22.4,33.9,6.1,70,,
Acne_CoolS/WarmF_B1_R3,1,CoolS/WarmF,acer,acer_negundo,,90,245,23.8,26.9,4.9,70,,
Acne_CoolS/WarmF_B1_R4,1,CoolS/WarmF,acer,acer_negundo,,90,245,0.2,26.5,20.6,80,,
Acne_CoolS/WarmF_B1_R5,1,CoolS/WarmF,acer,acer_negundo,,90,245,29,6.9,30.2,80,,
Acne_CoolS/WarmF_B2_R6,2,CoolS/WarmF,acer,acer_negundo,,90,245,3.5,13.8,19.6,70,,
Acne_CoolS/WarmF_B2_R7,2,CoolS/WarmF,acer,acer_negundo,,70,245,24.4,18.7,21.7,60,,
Acne_CoolS/WarmF_B2_R8,2,CoolS/WarmF,acer,acer_negundo,,80,245,20.8,22.7,14.6,70,,
Acne_CoolS/WarmF_B2_R9,2,CoolS/WarmF,acer,acer_negundo,,70,245,24.6,18.7,17.4,70,,
Acne_CoolS/WarmF_B2_R10,2,CoolS/WarmF,acer,acer_negundo,,50,245,3,8.9,12.8,20,,
Acne_CoolS/WarmF_B3_R11,3,CoolS/WarmF,acer,acer_negundo,,70,245,15,27.5,24.8,60,,
Acne_CoolS/WarmF_B3_R12,3,CoolS/WarmF,acer,acer_negundo,,70,245,20.7,26.5,23.1,40,,
Acne_CoolS/WarmF_B3_R13,3,CoolS/WarmF,acer,acer_negundo,,80,245,2.6,24.3,15.5,40,,
Acne_CoolS/WarmF_B3_R14,3,CoolS/WarmF,acer,acer_negundo,,80,245,3.5,24.1,23.5,60,,
Acne_CoolS/WarmF_B3_R15,3,CoolS/WarmF,acer,acer_negundo,,90,245,35.2,30.7,32.8,80,,
Acne_WarmS/CoolF_B1_R1,1,WarmS/CoolF,acer,acer_negundo,,80,245,14.1,7,14.3,60,,
Acne_WarmS/CoolF_B1_R2,1,WarmS/CoolF,acer,acer_negundo,,80,245,12.8,28.8,25.7,70,,
Acne_WarmS/CoolF_B1_R3,1,WarmS/CoolF,acer,acer_negundo,,80,245,24.5,27.6,27.9,80,,
Acne_WarmS/CoolF_B1_R4,1,WarmS/CoolF,acer,acer_negundo,,70,245,21.6,37.6,18.3,70,,
Acne_WarmS/CoolF_B1_R5,1,WarmS/CoolF,acer,acer_negundo,,90,245,22.1,17.2,22.5,60,,
Acne_WarmS/CoolF_B2_R6,2,WarmS/CoolF,acer,acer_negundo,,90,245,29,26.1,15,60,,
Acne_WarmS/CoolF_B2_R7,2,WarmS/CoolF,acer,acer_negundo,,70,245,11.4,28.4,28.3,50,,
Acne_WarmS/CoolF_B2_R8,2,WarmS/CoolF,acer,acer_negundo,,90,245,19.9,25.1,26.5,90,,
Acne_WarmS/CoolF_B2_R9,2,WarmS/CoolF,acer,acer_negundo,,70,245,5.5,27.7,24.6,70,,
Acne_WarmS/CoolF_B2_R10,2,WarmS/CoolF,acer,acer_negundo,,70,245,18.9,28.6,10.6,70,,
Acne_WarmS/CoolF_B3_R11,3,WarmS/CoolF,acer,acer_negundo,,80,245,16.7,12.3,21.6,50,,
