tree_ID,bloc,treatment,genus,species,Note,101,107,114,121,122,128,135,142,149,156,163,170,177,184,192,199,206
Acne_CoolS/CoolF_B1_R1,1,CoolS/CoolF,acer,acer_negundo,,2.7,3.6,5,6.4,,7.6,na,8,8.2,8.2,8.3,8.3,,8.3,,8.8,
Acne_CoolS/CoolF_B1_R2,1,CoolS/CoolF,acer,acer_negundo,,3,3.2,4,5.1,,5.2,5.2,5.4,5.4,5.4,5.4,5.5,,5.9,,6.1,
Acne_CoolS/CoolF_B1_R3,1,CoolS/CoolF,acer,acer_negundo,,3,4.5,5.9,7,,8.1,8.2,8.3,8.4,8.4,8.4,8.4,,8.6,,9,
Acne_CoolS/CoolF_B1_R4,1,CoolS/CoolF,acer,acer_negundo,,1.4,1.7,2.8,3.7,,4.3,4.8,5.2,5.2,5.2,5.2,5.2,,5.5,,5.5,
Acne_CoolS/CoolF_B1_R5,1,CoolS/CoolF,acer,acer_negundo,,2.9,4.4,5.5,7.3,,8.4,8.9,9,9.1,9.1,9.1,9.1,,9.3,,9.6,
Acne_CoolS/CoolF_B2_R6,2,CoolS/CoolF,acer,acer_negundo,,4.2,5.1,6.5,7.2,,8.3,8.5,8.8,8.8,9.3,9.3,9.3,,9.4,,9.8,
Acne_CoolS/CoolF_B2_R7,2,CoolS/CoolF,acer,acer_negundo,,1.8,2.2,3.8,3.1,,3.6,3.7,3.7,3.5,3.5,3.5,3.5,,3.5,,3.7,
Acne_CoolS/CoolF_B2_R8,2,CoolS/CoolF,acer,acer_negundo,,2.4,3.2,4.8,7,,9.5,11.1,11.6,12.9,12.9,13,13,,13,,13,
Acne_CoolS/CoolF_B2_R9,2,CoolS/CoolF,acer,acer_negundo,,4,5.3,7.2,9.8,,11.5,12.7,13.4,13.8,13.8,13.8,13.8,,13.8,,14,
Acne_CoolS/CoolF_B2_R10,2,CoolS/CoolF,acer,acer_negundo,,1.9,2.3,2.9,3.1,,3.7,3.9,4.1,4.2,4.2,4.3,4.3,,4.3,,4.5,
Acne_CoolS/CoolF_B3_R11,3,CoolS/CoolF,acer,acer_negundo,,2.3,2.5,2.9,3.1,,3.3,3.3,3.4,3.4,3.4,3.4,3.4,,3.6,,4,
