tree_ID,bloc,treatment,genus,species,Note,doy,aboveGroundWeight,belowGroundWeight,
Acne_CoolS/CoolF_B1_R1,1,CoolS/CoolF,acer,acer_negundo,,304,6.1,13.2,
Acne_CoolS/CoolF_B1_R2,1,CoolS/CoolF,acer,acer_negundo,,304,6.4,16,
Acne_CoolS/CoolF_B1_R3,1,CoolS/CoolF,acer,acer_negundo,,304,11.4,17.1,
Acne_CoolS/CoolF_B1_R4,1,CoolS/CoolF,acer,acer_negundo,,304,7.6,16.9,
Acne_CoolS/CoolF_B1_R5,1,CoolS/CoolF,acer,acer_negundo,,304,13.4,23.8,
Acne_CoolS/CoolF_B2_R6,2,CoolS/CoolF,acer,acer_negundo,,307,12.54,23.18,
Acne_CoolS/CoolF_B2_R7,2,CoolS/CoolF,acer,acer_negundo,,307,7.41,13.67,
Acne_CoolS/CoolF_B2_R8,2,CoolS/CoolF,acer,acer_negundo,,307,13.37,16.24,
Acne_CoolS/CoolF_B2_R9,2,CoolS/CoolF,acer,acer_negundo,,307,12.53,18.26,
Acne_CoolS/CoolF_B2_R10,2,CoolS/CoolF,acer,acer_negundo,,307,8.03,14.04,
Acne_CoolS/CoolF_B3_R11,3,CoolS/CoolF,acer,acer_negundo,,307,7.85,8.67,
Acne_CoolS/CoolF_B3_R12,3,CoolS/CoolF,acer,acer_negundo,,307,3.83,4.14,
Acne_CoolS/CoolF_B3_R13,3,CoolS/CoolF,acer,acer_negundo,,307,5.31,8.39,
Acne_CoolS/CoolF_B3_R14,3,CoolS/CoolF,acer,acer_negundo,,307,6.02,9.85,
Acne_CoolS/CoolF_B3_R15,3,CoolS/CoolF,acer,acer_negundo,,307,7.24,11,
Acne_CoolS/CoolF_B1_R1_nitro,1,CoolS/CoolF_nitro,acer,acer_negundo,,304,11.5,20.3,
Acne_CoolS/CoolF_B1_R2_nitro,1,CoolS/CoolF_nitro,acer,acer_negundo,,304,9.7,13.5,
Acne_CoolS/CoolF_B1_R3_nitro,1,CoolS/CoolF_nitro,acer,acer_negundo,,304,7.2,15,
Acne_CoolS/CoolF_B1_R4_nitro,1,CoolS/CoolF_nitro,acer,acer_negundo,,304,10.4,17.1,
Acne_CoolS/CoolF_B1_R5_nitro,1,CoolS/CoolF_nitro,acer,acer_negundo,,304,5.97,14.66,
Acne_CoolS/CoolF_B2_R6_nitro,2,CoolS/CoolF_nitro,acer,acer_negundo,,307,11.73,17.13,
Acne_CoolS/CoolF_B2_R7_nitro,2,CoolS/CoolF_nitro,acer,acer_negundo,,307,10.56,18.71,
Acne_CoolS/CoolF_B2_R8_nitro,2,CoolS/CoolF_nitro,acer,acer_negundo,,307,4.2,5.98,
Acne_CoolS/CoolF_B2_R9_nitro,2,CoolS/CoolF_nitro,acer,acer_negundo,,307,12.74,15.02,
Acne_CoolS/CoolF_B2_R10_nitro,2,CoolS/CoolF_nitro,acer,acer_negundo,,307,9.1,13.75,
Acne_CoolS/CoolF_B3_R11_nitro,3,CoolS/CoolF_nitro,acer,acer_negundo,,307,7.09,7.72,
Acne_CoolS/CoolF_B3_R12_nitro,3,CoolS/CoolF_nitro,acer,acer_negundo,,307,7.39,10.43,
Acne_CoolS/CoolF_B3_R13_nitro,3,CoolS/CoolF_nitro,acer,acer_negundo,,307,5.86,5.34,
Acne_CoolS/CoolF_B3_R14_nitro,3,CoolS/CoolF_nitro,acer,acer_negundo,,307,6.6,9.43,
Acne_CoolS/CoolF_B3_R15_nitro,3,CoolS/CoolF_nitro,acer,acer_negundo,,307,7.14,7.79,
Acne_CoolS/WarmF_B1_R1,1,CoolS/WarmF,acer,acer_negundo,,304,5.78,10.28,
Acne_CoolS/WarmF_B1_R2,1,CoolS/WarmF,acer,acer_negundo,,304,7.96,19.73,
Acne_CoolS/WarmF_B1_R3,1,CoolS/WarmF,acer,acer_negundo,,304,5.22,13.51,
Acne_CoolS/WarmF_B1_R4,1,CoolS/WarmF,acer,acer_negundo,,304,7.06,13.47,
Acne_CoolS/WarmF_B1_R5,1,CoolS/WarmF,acer,acer_negundo,,304,6.08,14.84,
Acne_CoolS/WarmF_B2_R6,2,CoolS/WarmF,acer,acer_negundo,,307,6.36,12.25,
Acne_CoolS/WarmF_B2_R7,2,CoolS/WarmF,acer,acer_negundo,,307,7.35,12.86,
Acne_CoolS/WarmF_B2_R8,2,CoolS/WarmF,acer,acer_negundo,,307,9.35,15.66,
Acne_CoolS/WarmF_B2_R9,2,CoolS/WarmF,acer,acer_negundo,,307,7.33,12.93,
Acne_CoolS/WarmF_B2_R10,2,CoolS/WarmF,acer,acer_negundo,,307,5.02,5.6,
Acne_CoolS/WarmF_B3_R11,3,CoolS/WarmF,acer,acer_negundo,,307,10.15,9,
Acne_CoolS/WarmF_B3_R12,3,CoolS/WarmF,acer,acer_negundo,,307,2.09,3.07,
Acne_CoolS/WarmF_B3_R13,3,CoolS/WarmF,acer,acer_negundo,,307,11.51,17.28,
Acne_CoolS/WarmF_B3_R14,3,CoolS/WarmF,acer,acer_negundo,,307,4.85,9.22,
Acne_CoolS/WarmF_B3_R15,3,CoolS/WarmF,acer,acer_negundo,,307,5.67,13.38,
Acne_WarmS/CoolF_B1_R1,1,WarmS/CoolF,acer,acer_negundo,,304,9.92,31.97,
Acne_WarmS/CoolF_B1_R2,1,WarmS/CoolF,acer,acer_negundo,,304,5.72,13.76,
Acne_WarmS/CoolF_B1_R3,1,WarmS/CoolF,acer,acer_negundo,,304,12.11,17.56,
Acne_WarmS/CoolF_B1_R4,1,WarmS/CoolF,acer,acer_negundo,,304,10.55,24.45,
Acne_WarmS/CoolF_B1_R5,1,WarmS/CoolF,acer,acer_negundo,,304,8.44,15.9,
Acne_WarmS/CoolF_B2_R6,2,WarmS/CoolF,acer,acer_negundo,,307,5.27,8.86,
Acne_WarmS/CoolF_B2_R7,2,WarmS/CoolF,acer,acer_negundo,,307,11.38,17.61,
Acne_WarmS/CoolF_B2_R8,2,WarmS/CoolF,acer,acer_negundo,,307,12.75,26.02,
Acne_WarmS/CoolF_B2_R9,2,WarmS/CoolF,acer,acer_negundo,,307,7.53,7.82,
Acne_WarmS/CoolF_B2_R10,2,WarmS/CoolF,acer,acer_negundo,,307,5.86,8.51,
Acne_WarmS/CoolF_B3_R11,3,WarmS/CoolF,acer,acer_negundo,,307,7.46,9.79,
Acne_WarmS/CoolF_B3_R12,3,WarmS/CoolF,acer,acer_negundo,,307,12.27,13.92,
Acne_WarmS/CoolF_B3_R13,3,WarmS/CoolF,acer,acer_negundo,,307,16.85,28.77,
Acne_WarmS/CoolF_B3_R14,3,WarmS/CoolF,acer,acer_negundo,,307,5.42,7.72,
Acne_WarmS/CoolF_B3_R15,3,WarmS/CoolF,acer,acer_negundo,,307,8.19,10.32,
Acne_WarmS/WarmF_B1_R1,1,WarmS/WarmF,acer,acer_negundo,,304,5.32,13.61,
Acne_WarmS/WarmF_B1_R2,1,WarmS/WarmF,acer,acer_negundo,,304,5.17,10.16,
Acne_WarmS/WarmF_B1_R3,1,WarmS/WarmF,acer,acer_negundo,,304,6.49,20.23,
Acne_WarmS/WarmF_B1_R4,1,WarmS/WarmF,acer,acer_negundo,,304,3.14,8.02,
Acne_WarmS/WarmF_B1_R5,1,WarmS/WarmF,acer,acer_negundo,,304,10.86,15.49,
Acne_WarmS/WarmF_B2_R6,2,WarmS/WarmF,acer,acer_negundo,,307,6.1,11.66,
Acne_WarmS/WarmF_B2_R7,2,WarmS/WarmF,acer,acer_negundo,,307,8.14,14.84,
Acne_WarmS/WarmF_B2_R8,2,WarmS/WarmF,acer,acer_negundo,,307,8.47,20.25,
Acne_WarmS/WarmF_B2_R9,2,WarmS/WarmF,acer,acer_negundo,,307,9.97,14.89,
Acne_WarmS/WarmF_B2_R10,2,WarmS/WarmF,acer,acer_negundo,,307,7.72,13.77,
Acne_WarmS/WarmF_B3_R11,3,WarmS/WarmF,acer,acer_negundo,,307,7.32,10.75,
Acne_WarmS/WarmF_B3_R12,3,WarmS/WarmF,acer,acer_negundo,,307,8.61,13.33,
Acne_WarmS/WarmF_B3_R13,3,WarmS/WarmF,acer,acer_negundo,,307,7.12,12.44,
Acne_WarmS/WarmF_B3_R14,3,WarmS/WarmF,acer,acer_negundo,,307,6.25,10.7,
Acne_WarmS/WarmF_B3_R15,3,WarmS/WarmF,acer,acer_negundo,,307,6.38,6.24,
Acne_WarmS/WarmF_B1_R1_nitro,1,WarmS/WarmF_nitro,acer,acer_negundo,,304,5.46,6.49,
Acne_WarmS/WarmF_B1_R2_nitro,1,WarmS/WarmF_nitro,acer,acer_negundo,,304,8.12,15.08,
Acne_WarmS/WarmF_B1_R3_nitro,1,WarmS/WarmF_nitro,acer,acer_negundo,,304,5.03,10.2,
Acne_WarmS/WarmF_B1_R4_nitro,1,WarmS/WarmF_nitro,acer,acer_negundo,,304,2.96,7.18,
Acne_WarmS/WarmF_B1_R5_nitro,1,WarmS/WarmF_nitro,acer,acer_negundo,,304,5.38,10.95,
Acne_WarmS/WarmF_B2_R6_nitro,2,WarmS/WarmF_nitro,acer,acer_negundo,,307,8,13.24,
Acne_WarmS/WarmF_B2_R7_nitro,2,WarmS/WarmF_nitro,acer,acer_negundo,,307,8.62,13.37,
Acne_WarmS/WarmF_B2_R8_nitro,2,WarmS/WarmF_nitro,acer,acer_negundo,,307,12.42,18.36,
Acne_WarmS/WarmF_B2_R9_nitro,2,WarmS/WarmF_nitro,acer,acer_negundo,,307,4.78,6.97,
Acne_WarmS/WarmF_B2_R10_nitro,2,WarmS/WarmF_nitro,acer,acer_negundo,,307,9.67,17.4,
Acne_WarmS/WarmF_B3_R11_nitro,3,WarmS/WarmF_nitro,acer,acer_negundo,,307,6.66,14.07,
Acne_WarmS/WarmF_B3_R12_nitro,3,WarmS/WarmF_nitro,acer,acer_negundo,,307,12.56,11.56,
Acne_WarmS/WarmF_B3_R13_nitro,3,WarmS/WarmF_nitro,acer,acer_negundo,,307,11.81,21.69,
Acne_WarmS/WarmF_B3_R14_nitro,3,WarmS/WarmF_nitro,acer,acer_negundo,,307,5.51,13.22,
Acne_WarmS/WarmF_B3_R15_nitro,3,WarmS/WarmF_nitro,acer,acer_negundo,,307,12.04,17.54,
Bepa_CoolS/CoolF_B1_R1,1,CoolS/CoolF,betula,betula_papyrifera,,,,,
Bepa_CoolS/CoolF_B1_R2,1,CoolS/CoolF,betula,betula_papyrifera,,,,,
Bepa_CoolS/CoolF_B1_R3,1,CoolS/CoolF,betula,betula_papyrifera,,,,,
Bepa_CoolS/CoolF_B1_R4,1,CoolS/CoolF,betula,betula_papyrifera,,,,,
Bepa_CoolS/CoolF_B1_R5,1,CoolS/CoolF,betula,betula_papyrifera,,,,,
Bepa_CoolS/CoolF_B2_R6,2,CoolS/CoolF,betula,betula_papyrifera,,,,,
Bepa_CoolS/CoolF_B2_R7,2,CoolS/CoolF,betula,betula_papyrifera,,,,,
Bepa_CoolS/CoolF_B2_R8,2,CoolS/CoolF,betula,betula_papyrifera,,,,,
Bepa_CoolS/CoolF_B2_R9,2,CoolS/CoolF,betula,betula_papyrifera,,,,,
Bepa_CoolS/CoolF_B2_R10,2,CoolS/CoolF,betula,betula_papyrifera,,,,,
Bepa_CoolS/CoolF_B3_R11,3,CoolS/CoolF,betula,betula_papyrifera,,,,,
Bepa_CoolS/CoolF_B3_R12,3,CoolS/CoolF,betula,betula_papyrifera,,,,,
Bepa_CoolS/CoolF_B3_R13,3,CoolS/CoolF,betula,betula_papyrifera,,,,,
Bepa_CoolS/CoolF_B3_R14,3,CoolS/CoolF,betula,betula_papyrifera,,,,,
Bepa_CoolS/CoolF_B3_R15,3,CoolS/CoolF,betula,betula_papyrifera,,,,,
Bepa_CoolS/CoolF_B1_R1_nitro,1,CoolS/CoolF_nitro,betula,betula_papyrifera,,,,,
Bepa_CoolS/CoolF_B1_R2_nitro,1,CoolS/CoolF_nitro,betula,betula_papyrifera,,,,,
Bepa_CoolS/CoolF_B1_R3_nitro,1,CoolS/CoolF_nitro,betula,betula_papyrifera,,,,,
Bepa_CoolS/CoolF_B1_R4_nitro,1,CoolS/CoolF_nitro,betula,betula_papyrifera,,,,,
Bepa_CoolS/CoolF_B1_R5_nitro,1,CoolS/CoolF_nitro,betula,betula_papyrifera,,,,,
Bepa_CoolS/CoolF_B2_R6_nitro,2,CoolS/CoolF_nitro,betula,betula_papyrifera,,,,,
Bepa_CoolS/CoolF_B2_R7_nitro,2,CoolS/CoolF_nitro,betula,betula_papyrifera,,,,,
Bepa_CoolS/CoolF_B2_R8_nitro,2,CoolS/CoolF_nitro,betula,betula_papyrifera,,,,,
Bepa_CoolS/CoolF_B2_R9_nitro,2,CoolS/CoolF_nitro,betula,betula_papyrifera,,,,,
Bepa_CoolS/CoolF_B2_R10_nitro,2,CoolS/CoolF_nitro,betula,betula_papyrifera,,,,,
Bepa_CoolS/CoolF_B3_R11_nitro,3,CoolS/CoolF_nitro,betula,betula_papyrifera,,,,,
Bepa_CoolS/CoolF_B3_R12_nitro,3,CoolS/CoolF_nitro,betula,betula_papyrifera,,,,,
Bepa_CoolS/CoolF_B3_R13_nitro,3,CoolS/CoolF_nitro,betula,betula_papyrifera,,,,,
Bepa_CoolS/CoolF_B3_R14_nitro,3,CoolS/CoolF_nitro,betula,betula_papyrifera,,,,,
Bepa_CoolS/CoolF_B3_R15_nitro,3,CoolS/CoolF_nitro,betula,betula_papyrifera,,,,,
Bepa_CoolS/WarmF_B1_R1,1,CoolS/WarmF,betula,betula_papyrifera,,,,,
Bepa_CoolS/WarmF_B1_R2,1,CoolS/WarmF,betula,betula_papyrifera,,,,,
Bepa_CoolS/WarmF_B1_R3,1,CoolS/WarmF,betula,betula_papyrifera,,,,,
Bepa_CoolS/WarmF_B1_R4,1,CoolS/WarmF,betula,betula_papyrifera,,,,,
Bepa_CoolS/WarmF_B1_R5,1,CoolS/WarmF,betula,betula_papyrifera,,,,,
Bepa_CoolS/WarmF_B2_R6,2,CoolS/WarmF,betula,betula_papyrifera,,,,,
Bepa_CoolS/WarmF_B2_R7,2,CoolS/WarmF,betula,betula_papyrifera,,,,,
Bepa_CoolS/WarmF_B2_R8,2,CoolS/WarmF,betula,betula_papyrifera,,,,,
Bepa_CoolS/WarmF_B2_R9,2,CoolS/WarmF,betula,betula_papyrifera,,,,,
Bepa_CoolS/WarmF_B2_R10,2,CoolS/WarmF,betula,betula_papyrifera,,,,,
Bepa_CoolS/WarmF_B3_R11,3,CoolS/WarmF,betula,betula_papyrifera,,,,,
Bepa_CoolS/WarmF_B3_R12,3,CoolS/WarmF,betula,betula_papyrifera,,,,,
Bepa_CoolS/WarmF_B3_R13,3,CoolS/WarmF,betula,betula_papyrifera,,,,,
Bepa_CoolS/WarmF_B3_R14,3,CoolS/WarmF,betula,betula_papyrifera,,,,,
Bepa_CoolS/WarmF_B3_R15,3,CoolS/WarmF,betula,betula_papyrifera,,,,,
Bepa_WarmS/CoolF_B1_R1,1,WarmS/CoolF,betula,betula_papyrifera,,,,,
Bepa_WarmS/CoolF_B1_R2,1,WarmS/CoolF,betula,betula_papyrifera,,,,,
