#,Date-Time (PST/PDT),Temperature   (°C),RH   (%),Dew Point   (°C),Host Connected,Stopped,End of File
1,03-08-2024 15:20:50,10.57,62.55,3.73,,,
2,03-08-2024 15:30:50,7.14,72.77,2.59,,,
3,03-08-2024 15:40:50,6.12,77.58,2.50,,,
4,03-08-2024 15:50:50,5.72,82.46,2.98,,,
5,03-08-2024 16:00:50,5.46,82.97,2.80,,,
6,03-08-2024 16:10:50,5.35,86.85,3.34,,,
7,03-08-2024 16:20:50,5.35,87.89,3.51,,,
8,03-08-2024 16:30:50,5.32,88.21,3.53,,,
9,03-08-2024 16:40:50,5.23,88.69,3.52,,,
10,03-08-2024 16:50:50,5.16,88.73,3.45,,,
11,03-08-2024 17:00:50,5.06,89.63,3.50,,,
12,03-08-2024 17:10:50,5.03,90.04,3.53,,,
13,03-08-2024 17:20:50,5.02,89.25,3.40,,,
14,03-08-2024 17:30:50,4.98,89.18,3.36,,,
15,03-08-2024 17:40:50,4.98,89.18,3.36,,,
16,03-08-2024 17:50:50,5.07,88.94,3.40,,,
17,03-08-2024 18:00:50,5.06,89.73,3.52,,,
18,03-08-2024 18:10:50,5.12,89.65,3.57,,,
19,03-08-2024 18:20:50,5.08,90.83,3.71,,,
20,03-08-2024 18:30:50,5.02,91.43,3.74,,,
21,03-08-2024 18:40:50,4.95,91.39,3.67,,,
22,03-08-2024 18:50:50,4.91,91.17,3.59,,,
23,03-08-2024 19:00:50,4.96,90.76,3.58,,,
24,03-08-2024 19:10:50,5.02,90.17,3.54,,,
25,03-08-2024 19:20:50,5.08,89.89,3.56,,,
26,03-08-2024 19:30:50,5.09,89.13,3.45,,,
27,03-08-2024 19:40:50,5.25,88.17,3.46,,,
28,03-08-2024 19:50:50,5.23,88.22,3.45,,,
29,03-08-2024 20:00:50,5.24,88.64,3.52,,,
30,03-08-2024 20:10:50,5.24,88.52,3.50,,,
31,03-08-2024 20:20:50,5.04,89.52,3.46,,,
32,03-08-2024 20:30:50,4.94,90.68,3.55,,,
33,03-08-2024 20:40:50,4.96,91.06,3.63,,,
34,03-08-2024 20:50:50,4.91,91.16,3.59,,,
35,03-08-2024 21:00:50,4.87,91.29,3.57,,,
36,03-08-2024 21:10:50,4.79,91.10,3.47,,,
37,03-08-2024 21:20:50,4.78,91.06,3.45,,,
38,03-08-2024 21:30:50,4.71,91.91,3.51,,,
39,03-08-2024 21:40:50,4.80,91.82,3.59,,,
40,03-08-2024 21:50:50,4.75,91.93,3.55,,,
41,03-08-2024 22:00:50,4.75,92.01,3.57,,,
42,03-08-2024 22:10:50,4.66,92.17,3.50,,,
43,03-08-2024 22:20:50,4.66,92.10,3.49,,,
44,03-08-2024 22:30:50,4.68,92.31,3.55,,,
45,03-08-2024 22:40:50,4.68,92.21,3.53,,,
46,03-08-2024 22:50:50,4.69,92.18,3.54,,,
47,03-08-2024 23:00:50,4.69,92.25,3.55,,,
48,03-08-2024 23:10:50,4.82,90.78,3.45,,,
49,03-08-2024 23:20:50,4.80,91.43,3.53,,,
50,03-08-2024 23:30:50,4.88,90.23,3.42,,,
51,03-08-2024 23:40:50,4.89,90.34,3.44,,,
52,03-08-2024 23:50:50,5.00,90.29,3.54,,,
53,03-09-2024 00:00:50,5.00,90.31,3.54,,,
54,03-09-2024 00:10:50,5.18,88.99,3.52,,,
55,03-09-2024 00:20:50,5.26,88.53,3.53,,,
56,03-09-2024 00:30:50,5.24,88.70,3.53,,,
57,03-09-2024 00:40:50,5.24,89.31,3.63,,,
58,03-09-2024 00:50:50,5.28,88.87,3.60,,,
59,03-09-2024 01:00:50,5.39,88.09,3.58,,,
60,03-09-2024 01:10:50,5.54,86.21,3.43,,,
61,03-09-2024 01:20:50,5.59,87.28,3.64,,,
62,03-09-2024 01:30:50,5.80,85.60,3.58,,,
63,03-09-2024 01:40:50,5.83,85.83,3.65,,,
64,03-09-2024 01:50:50,5.68,86.63,3.63,,,
65,03-09-2024 02:00:50,5.54,88.20,3.75,,,
66,03-09-2024 02:10:50,5.52,88.10,3.71,,,
67,03-09-2024 02:20:50,5.54,87.35,3.61,,,
68,03-09-2024 02:30:50,5.54,87.59,3.65,,,
69,03-09-2024 02:40:50,5.97,84.94,3.64,,,
70,03-09-2024 02:50:50,5.92,85.70,3.71,,,
71,03-09-2024 03:00:50,5.91,84.16,3.44,,,
72,03-09-2024 03:10:50,5.87,84.51,3.47,,,
73,03-09-2024 03:20:50,5.91,84.92,3.57,,,
74,03-09-2024 03:30:50,5.81,85.91,3.64,,,
75,03-09-2024 03:40:50,5.78,85.82,3.59,,,
76,03-09-2024 03:50:50,5.57,87.30,3.64,,,
77,03-09-2024 04:00:50,5.43,87.91,3.60,,,
78,03-09-2024 04:10:50,5.45,88.03,3.63,,,
79,03-09-2024 04:20:50,5.42,86.04,3.28,,,
80,03-09-2024 04:30:50,5.40,86.38,3.32,,,
81,03-09-2024 04:40:50,5.31,85.21,3.03,,,
82,03-09-2024 04:50:50,5.48,85.07,3.17,,,
83,03-09-2024 05:00:50,5.40,85.71,3.21,,,
84,03-09-2024 05:10:50,5.38,85.52,3.15,,,
85,03-09-2024 05:20:50,5.50,83.13,2.87,,,
86,03-09-2024 05:30:50,5.60,82.09,2.79,,,
87,03-09-2024 05:40:50,5.53,83.16,2.91,,,
88,03-09-2024 05:50:50,5.66,82.42,2.91,,,
89,03-09-2024 06:00:50,5.75,79.24,2.44,,,
90,03-09-2024 06:10:50,6.16,79.26,2.85,,,
91,03-09-2024 06:20:50,6.23,76.50,2.41,,,
92,03-09-2024 06:30:50,6.39,76.93,2.65,,,
93,03-09-2024 06:40:50,6.68,72.90,2.17,,,
94,03-09-2024 06:50:50,6.86,73.07,2.38,,,
95,03-09-2024 07:00:50,6.87,73.49,2.47,,,
96,03-09-2024 07:10:50,7.11,72.00,2.41,,,
97,03-09-2024 07:20:50,7.03,72.52,2.44,,,
98,03-09-2024 07:30:50,7.17,69.07,1.89,,,
99,03-09-2024 07:40:50,7.45,66.28,1.58,,,
100,03-09-2024 07:50:50,7.57,68.03,2.06,,,
101,03-09-2024 08:00:50,7.62,67.68,2.04,,,
102,03-09-2024 08:10:50,7.59,70.05,2.49,,,
103,03-09-2024 08:20:50,7.69,67.96,2.16,,,
104,03-09-2024 08:30:50,7.74,67.41,2.09,,,
105,03-09-2024 08:40:50,7.85,68.14,2.35,,,
106,03-09-2024 08:50:50,7.97,67.05,2.23,,,
107,03-09-2024 09:00:50,8.23,66.51,2.38,,,
108,03-09-2024 09:10:50,8.42,65.89,2.42,,,
