#,Date-Time (PDT),Temperature   (°C),RH   (%),Dew Point   (°C),Button Down,Host Connected,End of File
1,09-05-2024 15:08:22,24.23,57.84,15.42,,,
2,09-05-2024 15:13:22,25.30,54.52,15.49,,,
3,09-05-2024 15:18:22,25.62,53.24,15.42,,,
4,09-05-2024 15:23:22,25.79,52.65,15.40,,,
5,09-05-2024 15:28:22,25.90,52.15,15.36,,,
6,09-05-2024 15:33:22,26.00,51.69,15.31,,,
7,09-05-2024 15:38:22,26.08,51.42,15.30,,,
8,09-05-2024 15:43:22,26.15,51.09,15.26,,,
9,09-05-2024 15:48:22,26.20,50.90,15.26,,,
10,09-05-2024 15:53:22,26.24,50.76,15.25,,,
11,09-05-2024 15:58:22,26.28,50.61,15.24,,,
12,09-05-2024 16:03:22,26.31,50.46,15.22,,,
13,09-05-2024 16:08:22,26.34,50.28,15.19,,,
14,09-05-2024 16:13:22,26.36,50.01,15.13,,,
15,09-05-2024 16:18:22,26.38,49.85,15.10,,,
16,09-05-2024 16:23:22,26.41,49.59,15.04,,,
17,09-05-2024 16:28:22,26.42,49.35,14.98,,,
18,09-05-2024 16:33:22,26.44,49.08,14.90,,,
19,09-05-2024 16:38:22,26.45,48.84,14.84,,,
20,09-05-2024 16:43:22,26.46,48.72,14.81,,,
21,09-05-2024 16:48:22,26.47,48.57,14.77,,,
22,09-05-2024 16:53:22,26.47,48.49,14.74,,,
23,09-05-2024 16:58:22,26.48,48.29,14.69,,,
24,09-05-2024 17:03:22,26.48,48.23,14.67,,,
25,09-05-2024 17:08:22,26.51,48.04,14.64,,,
26,09-05-2024 17:13:22,26.71,48.05,14.83,,,
27,09-05-2024 17:18:22,23.97,59.22,15.54,,,
28,09-05-2024 17:23:22,22.01,65.59,15.29,,,
29,09-05-2024 17:28:22,21.54,72.23,16.35,,,
30,09-05-2024 17:33:22,21.20,70.87,15.73,,,
31,09-05-2024 17:38:22,20.92,71.41,15.58,,,
32,09-05-2024 17:43:22,21.03,78.21,17.11,,,
33,09-05-2024 17:48:22,21.19,70.35,15.60,,,
34,09-05-2024 17:53:22,21.13,72.16,15.94,,,
35,09-05-2024 17:58:22,21.10,71.10,15.68,,,
36,09-05-2024 18:03:22,20.47,57.35,11.78,,,
37,09-05-2024 18:08:22,19.45,73.21,14.55,,,
38,09-05-2024 18:13:22,18.07,63.17,10.97,,,
39,09-05-2024 18:18:22,16.91,69.78,11.37,,,
40,09-05-2024 18:23:22,16.78,71.43,11.60,,,
41,09-05-2024 18:28:22,16.72,72.87,11.84,,,
42,09-05-2024 18:33:22,16.62,83.28,13.79,,,
43,09-05-2024 18:38:22,16.77,77.38,12.81,,,
44,09-05-2024 18:43:22,16.70,76.89,12.65,,,
45,09-05-2024 18:48:22,16.63,76.96,12.59,,,
46,09-05-2024 18:53:22,16.55,77.04,12.53,,,
47,09-05-2024 18:58:22,16.48,77.19,12.49,,,
48,09-05-2024 19:03:22,15.77,61.19,8.33,,,
49,09-05-2024 19:08:22,14.69,75.52,10.42,,,
50,09-05-2024 19:13:22,14.43,77.76,10.61,,,
51,09-05-2024 19:18:22,14.34,78.58,10.68,,,
52,09-05-2024 19:23:22,14.31,78.81,10.70,,,
53,09-05-2024 19:28:22,14.26,78.94,10.68,,,
54,09-05-2024 19:33:22,14.21,79.11,10.66,,,
55,09-05-2024 19:38:22,14.17,79.23,10.64,,,
56,09-05-2024 19:43:22,14.11,79.38,10.61,,,
57,09-05-2024 19:48:22,14.06,79.21,10.53,,,
58,09-05-2024 19:53:22,13.08,80.63,9.84,,,
59,09-05-2024 19:58:22,12.68,78.98,9.14,,,
60,09-05-2024 20:03:22,12.30,79.30,8.84,,,
61,09-05-2024 20:08:22,11.97,79.96,8.64,,,
62,09-05-2024 20:13:22,11.70,83.07,8.94,,,
63,09-05-2024 20:18:22,11.99,86.09,9.75,,,
64,09-05-2024 20:23:22,12.05,81.18,8.94,,,
65,09-05-2024 20:28:22,11.84,89.76,10.22,,,
66,09-05-2024 20:33:22,12.05,90.13,10.49,,,
67,09-05-2024 20:38:22,12.06,87.52,10.07,,,
68,09-05-2024 20:43:22,12.05,81.99,9.08,,,
69,09-05-2024 20:48:22,11.99,83.49,9.29,,,
70,09-05-2024 20:53:22,12.01,90.17,10.46,,,
71,09-05-2024 20:58:22,12.10,86.78,9.98,,,
