#,Date-Time (PST/PDT),Temperature   (°C),RH   (%),Dew Point   (°C),Started,Host Connected,End of File
1,06-20-2024 14:36:20,21.82,61.26,14.05,Logged,,
2,06-20-2024 14:46:20,21.74,63.04,14.42,,,
3,06-20-2024 14:56:20,22.01,58.95,13.63,,,
4,06-20-2024 15:06:20,22.05,57.47,13.28,,,
5,06-20-2024 15:16:20,22.32,59.25,14.00,,,
6,06-20-2024 15:26:20,22.75,58.17,14.12,,,
7,06-20-2024 15:36:20,23.16,55.66,13.83,,,
8,06-20-2024 15:46:20,23.38,57.81,14.62,,,
9,06-20-2024 15:56:20,23.35,57.15,14.41,,,
10,06-20-2024 16:06:20,23.41,58.41,14.81,,,
11,06-20-2024 16:16:20,23.15,55.65,13.82,,,
12,06-20-2024 16:26:20,23.36,53.48,13.39,,,
13,06-20-2024 16:36:20,23.26,53.38,13.28,,,
14,06-20-2024 16:46:20,23.29,50.04,12.32,,,
15,06-20-2024 16:56:20,23.20,52.45,12.95,,,
16,06-20-2024 17:06:20,23.18,51.50,12.66,,,
17,06-20-2024 17:16:20,23.11,53.67,13.22,,,
18,06-20-2024 17:26:20,22.86,58.84,14.41,,,
19,06-20-2024 17:36:20,22.50,62.45,14.99,,,
20,06-20-2024 17:46:20,22.48,57.49,13.69,,,
21,06-20-2024 17:56:20,22.20,59.92,14.06,,,
22,06-20-2024 18:06:20,21.81,60.22,13.78,,,
23,06-20-2024 18:16:20,21.53,60.20,13.51,,,
24,06-20-2024 18:26:20,21.28,63.67,14.13,,,
25,06-20-2024 18:36:20,21.16,60.53,13.24,,,
26,06-20-2024 18:46:20,20.98,59.36,12.77,,,
27,06-20-2024 18:56:20,20.75,58.89,12.44,,,
28,06-20-2024 19:06:20,20.34,57.18,11.61,,,
29,06-20-2024 19:16:20,20.17,60.13,12.21,,,
30,06-20-2024 19:26:20,19.91,61.13,12.22,,,
31,06-20-2024 19:36:20,19.89,60.46,12.03,,,
32,06-20-2024 19:46:20,19.75,62.39,12.38,,,
33,06-20-2024 19:56:20,19.58,62.13,12.15,,,
34,06-20-2024 20:06:20,19.38,62.85,12.14,,,
35,06-20-2024 20:16:20,19.22,63.44,12.13,,,
36,06-20-2024 20:26:20,19.18,61.71,11.68,,,
37,06-20-2024 20:36:20,18.94,63.79,11.94,,,
38,06-20-2024 20:46:20,18.69,64.14,11.80,,,
39,06-20-2024 20:56:20,18.47,62.88,11.28,,,
40,06-20-2024 21:06:20,18.20,63.60,11.20,,,
41,06-20-2024 21:16:20,17.88,66.91,11.66,,,
42,06-20-2024 21:26:20,17.54,68.30,11.65,,,
43,06-20-2024 21:36:20,17.20,70.57,11.82,,,
44,06-20-2024 21:46:20,16.94,72.61,12.01,,,
45,06-20-2024 21:56:20,16.63,74.75,12.15,,,
46,06-20-2024 22:06:20,16.43,76.49,12.30,,,
47,06-20-2024 22:16:20,16.32,76.45,12.19,,,
48,06-20-2024 22:26:20,16.26,75.32,11.90,,,
49,06-20-2024 22:36:20,16.17,74.72,11.70,,,
50,06-20-2024 22:46:20,15.96,75.44,11.63,,,
