tree_ID;bloc;treatment;genus;species;Year;DOY;phenostageNum;phenophaseText;Notes
Acne_CoolS/CoolF_B1_R1;1;CoolS/CoolF;acer;acer_negundo;2024;102;4;Leaf fully unfolded;NA
Acne_CoolS/CoolF_B1_R1;1;CoolS/CoolF;acer;acer_negundo;2024;106;4;Leaf fully unfolded;NA
Acne_CoolS/CoolF_B1_R1;1;CoolS/CoolF;acer;acer_negundo;2024;109;4;Leaf fully unfolded;NA
Acne_CoolS/CoolF_B1_R1;1;CoolS/CoolF;acer;acer_negundo;2024;186;6;Bud changes color to red or green;unsure wheras 5-6
Acne_CoolS/CoolF_B1_R1;1;CoolS/CoolF;acer;acer_negundo;2024;193;5;Bud starts to set, still green;NA
Acne_CoolS/CoolF_B1_R1;1;CoolS/CoolF;acer;acer_negundo;2024;200;4;Leaf fully unfolded;NA
Acne_CoolS/CoolF_B1_R1;1;CoolS/CoolF;acer;acer_negundo;2024;207;4;Leaf fully unfolded;NA
Acne_CoolS/CoolF_B1_R1;1;CoolS/CoolF;acer;acer_negundo;2024;214;5;Bud starts to set, still green;NA
Acne_CoolS/CoolF_B1_R1;1;CoolS/CoolF;acer;acer_negundo;2024;221;5;Bud starts to set, still green;NA
Acne_CoolS/CoolF_B1_R1;1;CoolS/CoolF;acer;acer_negundo;2024;228;5;Bud starts to set, still green;NA
Acne_CoolS/CoolF_B1_R1;1;CoolS/CoolF;acer;acer_negundo;2024;283;6;Bud changes color to red or green;NA
Acne_CoolS/CoolF_B1_R1;1;CoolS/CoolF;acer;acer_negundo;2024;290;7;Bud is fully set;NA
Acne_CoolS/CoolF_B1_R1;1;CoolS/CoolF;acer;acer_negundo;2024;297;7;Bud is fully set;NA
Acne_CoolS/CoolF_B1_R1;1;CoolS/CoolF;acer;acer_negundo;2024;311;7;Bud is fully set;NA
Acne_CoolS/CoolF_B1_R1_nitro;1;CoolS/CoolF_nitro;acer;acer_negundo;2024;102;4;Leaf fully unfolded;NA
Acne_CoolS/CoolF_B1_R1_nitro;1;CoolS/CoolF_nitro;acer;acer_negundo;2024;106;4;Leaf fully unfolded;NA
Acne_CoolS/CoolF_B1_R1_nitro;1;CoolS/CoolF_nitro;acer;acer_negundo;2024;109;4;Leaf fully unfolded;NA
Acne_CoolS/CoolF_B1_R1_nitro;1;CoolS/CoolF_nitro;acer;acer_negundo;2024;186;5;Bud starts to set, still green;NA
Acne_CoolS/CoolF_B1_R1_nitro;1;CoolS/CoolF_nitro;acer;acer_negundo;2024;193;5;Bud starts to set, still green;NA
Acne_CoolS/CoolF_B1_R1_nitro;1;CoolS/CoolF_nitro;acer;acer_negundo;2024;200;5;Bud starts to set, still green;NA
Acne_CoolS/CoolF_B1_R1_nitro;1;CoolS/CoolF_nitro;acer;acer_negundo;2024;262;6;Bud changes color to red or green;NA
Acne_CoolS/CoolF_B1_R1_nitro;1;CoolS/CoolF_nitro;acer;acer_negundo;2024;276;6;Bud changes color to red or green;NA
Acne_CoolS/CoolF_B1_R1_nitro;1;CoolS/CoolF_nitro;acer;acer_negundo;2024;283;7;Bud is fully set;NA
Acne_CoolS/CoolF_B1_R1_nitro;1;CoolS/CoolF_nitro;acer;acer_negundo;2024;290;7;Bud is fully set;NA
Acne_CoolS/CoolF_B1_R1_nitro;1;CoolS/CoolF_nitro;acer;acer_negundo;2024;297;7;Bud is fully set;NA
Acne_CoolS/CoolF_B1_R2;1;CoolS/CoolF;acer;acer_negundo;2024;102;4;Leaf fully unfolded;NA
Acne_CoolS/CoolF_B1_R2;1;CoolS/CoolF;acer;acer_negundo;2024;106;4;Leaf fully unfolded;NA
Acne_CoolS/CoolF_B1_R2;1;CoolS/CoolF;acer;acer_negundo;2024;109;4;Leaf fully unfolded;NA
Acne_CoolS/CoolF_B1_R2;1;CoolS/CoolF;acer;acer_negundo;2024;186;5;Bud starts to set, still green;NA
Acne_CoolS/CoolF_B1_R2;1;CoolS/CoolF;acer;acer_negundo;2024;193;5;Bud starts to set, still green;NA
Acne_CoolS/CoolF_B1_R2;1;CoolS/CoolF;acer;acer_negundo;2024;200;5;Bud starts to set, still green;NA
Acne_CoolS/CoolF_B1_R2;1;CoolS/CoolF;acer;acer_negundo;2024;276;6;Bud changes color to red or green;NA
Acne_CoolS/CoolF_B1_R2;1;CoolS/CoolF;acer;acer_negundo;2024;283;6;Bud changes color to red or green;NA
Acne_CoolS/CoolF_B1_R2;1;CoolS/CoolF;acer;acer_negundo;2024;290;7;Bud is fully set;NA
Acne_CoolS/CoolF_B1_R2;1;CoolS/CoolF;acer;acer_negundo;2024;297;7;Bud is fully set;NA
Acne_CoolS/CoolF_B1_R2;1;CoolS/CoolF;acer;acer_negundo;2024;311;7;Bud is fully set;NA
Acne_CoolS/CoolF_B1_R2_nitro;1;CoolS/CoolF_nitro;acer;acer_negundo;2024;102;4;Leaf fully unfolded;NA
Acne_CoolS/CoolF_B1_R2_nitro;1;CoolS/CoolF_nitro;acer;acer_negundo;2024;106;4;Leaf fully unfolded;NA
