"Species","Treatment","Stage_0","Stage_1","Stage_2","Stage_3","Stage_4","Stage_5","Stage_6","Stage_7"
"acer_negundo","CoolS/CoolF",0,0,0,6,15,15,15,15
"acer_negundo","CoolS/CoolF_nitro",0,0,0,1,15,14,14,14
"acer_negundo","CoolS/WarmF",0,0,0,8,15,14,15,15
"acer_negundo","WarmS/CoolF",0,0,0,0,15,15,15,14
"acer_negundo","WarmS/WarmF",0,0,0,0,15,14,14,13
"acer_negundo","WarmS/WarmF_nitro",0,0,0,0,15,15,15,15
"betula_papyrifera","CoolS/CoolF",0,0,0,4,15,13,15,15
"betula_papyrifera","CoolS/CoolF_nitro",0,1,0,3,15,10,14,14
"betula_papyrifera","CoolS/WarmF",0,0,1,3,15,7,15,15
"betula_papyrifera","WarmS/CoolF",0,3,0,0,15,6,15,15
"betula_papyrifera","WarmS/WarmF",0,0,1,0,15,8,15,15
"betula_papyrifera","WarmS/WarmF_nitro",0,0,0,0,15,9,15,15
"pinus_strobus","CoolS/CoolF",3,13,15,14,15,2,14,15
"pinus_strobus","CoolS/CoolF_nitro",1,15,15,15,15,2,15,15
"pinus_strobus","CoolS/WarmF",4,15,15,15,15,5,15,15
"pinus_strobus","WarmS/CoolF",0,3,15,13,15,1,15,15
"pinus_strobus","WarmS/WarmF",0,3,15,12,15,2,15,15
"pinus_strobus","WarmS/WarmF_nitro",0,5,15,14,15,2,15,15
"populus_balsamifera","CoolS/CoolF",0,3,11,15,15,5,9,10
"populus_balsamifera","CoolS/CoolF_nitro",0,2,12,15,15,5,12,13
"populus_balsamifera","CoolS/WarmF",0,6,13,15,15,6,13,15
"populus_balsamifera","WarmS/CoolF",0,0,1,1,15,5,9,9
"populus_balsamifera","WarmS/WarmF",0,0,1,1,15,9,7,9
"populus_balsamifera","WarmS/WarmF_nitro",0,5,3,3,15,9,11,12
"prunus_virginiana","CoolS/CoolF",0,0,1,2,15,10,15,15
"prunus_virginiana","CoolS/CoolF_nitro",0,0,3,5,15,13,12,13
"prunus_virginiana","CoolS/WarmF",0,0,2,2,14,11,12,14
"prunus_virginiana","WarmS/CoolF",0,0,1,1,14,6,6,12
"prunus_virginiana","WarmS/WarmF",0,1,1,1,14,4,6,12
"prunus_virginiana","WarmS/WarmF_nitro",0,0,1,3,14,9,9,13
"quercus_macrocarpa","CoolS/CoolF",6,13,15,15,15,11,15,15
"quercus_macrocarpa","CoolS/CoolF_nitro",8,14,15,15,15,10,15,15
"quercus_macrocarpa","CoolS/WarmF",8,14,15,14,14,10,15,14
"quercus_macrocarpa","WarmS/CoolF",0,7,11,15,15,8,15,15
"quercus_macrocarpa","WarmS/WarmF",0,6,12,13,14,11,13,13
"quercus_macrocarpa","WarmS/WarmF_nitro",1,2,10,15,15,10,15,15
"sequoiadendron_giganteum","CoolS/CoolF",7,15,11,9,0,0,0,0
"sequoiadendron_giganteum","CoolS/CoolF_nitro",5,15,11,11,0,0,0,0
"sequoiadendron_giganteum","CoolS/WarmF",3,15,11,10,0,0,0,0
"sequoiadendron_giganteum","WarmS/CoolF",4,15,11,9,0,0,0,0
"sequoiadendron_giganteum","WarmS/WarmF",5,15,8,8,0,0,0,0
"sequoiadendron_giganteum","WarmS/WarmF_nitro",1,15,14,14,0,0,0,0
