ID;Species;Treatment;Bloc;phenostageNum;phenophaseText;DOY;Year;Notes
Acne_CoolS/CoolF_B1_R1;Acne;CoolS/CoolF;B1;7;Bud is fully set;57;2025;NA
Acne_CoolS/CoolF_B1_R1;Acne;CoolS/CoolF;B1;7;Bud is fully set;59;2025;NA
Acne_CoolS/CoolF_B1_R1;Acne;CoolS/CoolF;B1;7;Bud is fully set;62;2025;NA
Acne_CoolS/CoolF_B1_R1;Acne;CoolS/CoolF;B1;1;Bud swollen;69;2025;NA
Acne_CoolS/CoolF_B1_R1;Acne;CoolS/CoolF;B1;1;Bud swollen;72;2025;NA
Acne_CoolS/CoolF_B1_R1;Acne;CoolS/CoolF;B1;1;Bud swollen;76;2025;NA
Acne_CoolS/CoolF_B1_R1;Acne;CoolS/CoolF;B1;2;Bud opened, leaves visible but curly;86;2025;NA
Acne_CoolS/CoolF_B1_R1;Acne;CoolS/CoolF;B1;2;Bud opened, leaves visible but curly;90;2025;NA
Acne_CoolS/CoolF_B1_R1;Acne;CoolS/CoolF;B1;3;Leaf out but not completely unfolded;93;2025;NA
Acne_CoolS/CoolF_B1_R1;Acne;CoolS/CoolF;B1;3;Leaf out but not completely unfolded;97;2025;NA
Acne_CoolS/CoolF_B1_R1;Acne;CoolS/CoolF;B1;4;Leaf fully unfolded;100;2025;NA
Acne_CoolS/CoolF_B1_R1;Acne;CoolS/CoolF;B1;4;Leaf fully unfolded;104;2025;NA
Acne_CoolS/CoolF_B1_R1;Acne;CoolS/CoolF;B1;4;Leaf fully unfolded;193;2025;NA
Acne_CoolS/CoolF_B1_R1;Acne;CoolS/CoolF;B1;6;Bud changes color to red or green;204;2025;NA
Acne_CoolS/CoolF_B1_R1;Acne;CoolS/CoolF;B1;6;Bud changes color to red or green;211;2025;NA
Acne_CoolS/CoolF_B1_R1_nitro;Acne;CoolS/CoolF_nitro;B1;7;Bud is fully set;57;2025;NA
Acne_CoolS/CoolF_B1_R1_nitro;Acne;CoolS/CoolF_nitro;B1;7;Bud is fully set;59;2025;NA
Acne_CoolS/CoolF_B1_R1_nitro;Acne;CoolS/CoolF_nitro;B1;7;Bud is fully set;62;2025;NA
Acne_CoolS/CoolF_B1_R1_nitro;Acne;CoolS/CoolF_nitro;B1;1;Bud swollen;69;2025;NA
Acne_CoolS/CoolF_B1_R1_nitro;Acne;CoolS/CoolF_nitro;B1;1;Bud swollen;72;2025;NA
Acne_CoolS/CoolF_B1_R1_nitro;Acne;CoolS/CoolF_nitro;B1;2;Bud opened, leaves visible but curly;76;2025;NA
Acne_CoolS/CoolF_B1_R1_nitro;Acne;CoolS/CoolF_nitro;B1;2;Bud opened, leaves visible but curly;79;2025;NA
Acne_CoolS/CoolF_B1_R1_nitro;Acne;CoolS/CoolF_nitro;B1;2;Bud opened, leaves visible but curly;83;2025;NA
Acne_CoolS/CoolF_B1_R1_nitro;Acne;CoolS/CoolF_nitro;B1;3;Leaf out but not completely unfolded;86;2025;NA
Acne_CoolS/CoolF_B1_R1_nitro;Acne;CoolS/CoolF_nitro;B1;3;Leaf out but not completely unfolded;90;2025;NA
Acne_CoolS/CoolF_B1_R1_nitro;Acne;CoolS/CoolF_nitro;B1;3;Leaf out but not completely unfolded;93;2025;NA
Acne_CoolS/CoolF_B1_R1_nitro;Acne;CoolS/CoolF_nitro;B1;4;Leaf fully unfolded;97;2025;NA
Acne_CoolS/CoolF_B1_R1_nitro;Acne;CoolS/CoolF_nitro;B1;4;Leaf fully unfolded;100;2025;NA
Acne_CoolS/CoolF_B1_R1_nitro;Acne;CoolS/CoolF_nitro;B1;4;Leaf fully unfolded;104;2025;NA
Acne_CoolS/CoolF_B1_R1_nitro;Acne;CoolS/CoolF_nitro;B1;5;Bud starts to set, still green;204;2025;NA
Acne_CoolS/CoolF_B1_R1_nitro;Acne;CoolS/CoolF_nitro;B1;5;Bud starts to set, still green;211;2025;NA
Acne_CoolS/CoolF_B1_R2;Acne;CoolS/CoolF;B1;7;Bud is fully set;57;2025;NA
Acne_CoolS/CoolF_B1_R2;Acne;CoolS/CoolF;B1;7;Bud is fully set;59;2025;NA
Acne_CoolS/CoolF_B1_R2;Acne;CoolS/CoolF;B1;7;Bud is fully set;62;2025;NA
Acne_CoolS/CoolF_B1_R2;Acne;CoolS/CoolF;B1;1;Bud swollen;69;2025;NA
Acne_CoolS/CoolF_B1_R2;Acne;CoolS/CoolF;B1;1;Bud swollen;72;2025;NA
Acne_CoolS/CoolF_B1_R2;Acne;CoolS/CoolF;B1;1;Bud swollen;76;2025;NA
Acne_CoolS/CoolF_B1_R2;Acne;CoolS/CoolF;B1;2;Bud opened, leaves visible but curly;83;2025;NA
Acne_CoolS/CoolF_B1_R2;Acne;CoolS/CoolF;B1;2;Bud opened, leaves visible but curly;86;2025;NA
Acne_CoolS/CoolF_B1_R2;Acne;CoolS/CoolF;B1;3;Leaf out but not completely unfolded;90;2025;NA
Acne_CoolS/CoolF_B1_R2;Acne;CoolS/CoolF;B1;3;Leaf out but not completely unfolded;93;2025;NA
Acne_CoolS/CoolF_B1_R2;Acne;CoolS/CoolF;B1;4;Leaf fully unfolded;97;2025;NA
Acne_CoolS/CoolF_B1_R2;Acne;CoolS/CoolF;B1;4;Leaf fully unfolded;100;2025;NA
Acne_CoolS/CoolF_B1_R2;Acne;CoolS/CoolF;B1;4;Leaf fully unfolded;104;2025;NA
Acne_CoolS/CoolF_B1_R2;Acne;CoolS/CoolF;B1;6;Bud changes color to red or green;211;2025;NA
Acne_CoolS/CoolF_B1_R2_nitro;Acne;CoolS/CoolF_nitro;B1;7;Bud is fully set;57;2025;NA
Acne_CoolS/CoolF_B1_R2_nitro;Acne;CoolS/CoolF_nitro;B1;7;Bud is fully set;59;2025;NA
Acne_CoolS/CoolF_B1_R2_nitro;Acne;CoolS/CoolF_nitro;B1;7;Bud is fully set;62;2025;NA
Acne_CoolS/CoolF_B1_R2_nitro;Acne;CoolS/CoolF_nitro;B1;1;Bud swollen;76;2025;NA
Acne_CoolS/CoolF_B1_R2_nitro;Acne;CoolS/CoolF_nitro;B1;1;Bud swollen;79;2025;NA
Acne_CoolS/CoolF_B1_R2_nitro;Acne;CoolS/CoolF_nitro;B1;1;Bud swollen;83;2025;NA
Acne_CoolS/CoolF_B1_R2_nitro;Acne;CoolS/CoolF_nitro;B1;2;Bud opened, leaves visible but curly;86;2025;NA
