"tree_ID";"bloc";"treatment";"genus";"species";"year";"height";"diameter";"notes"
"Acne_CoolS/CoolF_B1_R1";1;"CoolS/CoolF";"acer";"acer_negundo";2023;32;5,36;NA
"Acne_CoolS/CoolF_B1_R2";1;"CoolS/CoolF";"acer";"acer_negundo";2023;37;5,51;NA
"Acne_CoolS/CoolF_B1_R3";1;"CoolS/CoolF";"acer";"acer_negundo";2023;46,2;7,49;NA
"Acne_CoolS/CoolF_B1_R4";1;"CoolS/CoolF";"acer";"acer_negundo";2023;38,8;5,65;NA
"Acne_CoolS/CoolF_B1_R5";1;"CoolS/CoolF";"acer";"acer_negundo";2023;65,6;7,11;NA
"Acne_CoolS/CoolF_B2_R6";2;"CoolS/CoolF";"acer";"acer_negundo";2023;52,1;7,25;NA
"Acne_CoolS/CoolF_B2_R7";2;"CoolS/CoolF";"acer";"acer_negundo";2023;42,2;7,49;NA
"Acne_CoolS/CoolF_B2_R8";2;"CoolS/CoolF";"acer";"acer_negundo";2023;64,2;7,53;NA
"Acne_CoolS/CoolF_B2_R9";2;"CoolS/CoolF";"acer";"acer_negundo";2023;45,9;7,62;NA
"Acne_CoolS/CoolF_B2_R10";2;"CoolS/CoolF";"acer";"acer_negundo";2023;43,2;7,17;NA
"Acne_CoolS/CoolF_B3_R11";3;"CoolS/CoolF";"acer";"acer_negundo";2023;53;7,19;NA
"Acne_CoolS/CoolF_B3_R12";3;"CoolS/CoolF";"acer";"acer_negundo";2023;40,3;4,91;NA
"Acne_CoolS/CoolF_B3_R13";3;"CoolS/CoolF";"acer";"acer_negundo";2023;42,5;5,93;NA
"Acne_CoolS/CoolF_B3_R14";3;"CoolS/CoolF";"acer";"acer_negundo";2023;36,2;5,45;NA
"Acne_CoolS/CoolF_B3_R15";3;"CoolS/CoolF";"acer";"acer_negundo";2023;45;6,28;NA
"Acne_WarmS/CoolF_B1_R1";1;"WarmS/CoolF";"acer";"acer_negundo";2023;37;6,91;NA
