"Species","Treatment","Stage_0","Stage_1","Stage_2","Stage_3","Stage_4","Stage_5","Stage_6","Stage_7"
"Acne","CoolS/CoolF",0,0,0,6,15,15,15,15
"Acne","CoolS/CoolF_nitro",0,0,0,1,15,14,14,14
"Acne","CoolS/WarmF",0,0,0,8,15,14,15,15
"Acne","WarmS/CoolF",0,0,0,0,15,15,15,14
"Acne","WarmS/WarmF",0,0,0,0,15,14,14,13
"Acne","WarmS/WarmF_nitro",0,0,0,0,15,15,15,15
"Bepa","CoolS/CoolF",0,0,0,4,15,13,15,15
"Bepa","CoolS/CoolF_nitro",0,1,0,3,15,10,14,14
"Bepa","CoolS/WarmF",0,0,1,3,15,7,15,15
"Bepa","WarmS/CoolF",0,3,0,0,15,6,15,15
"Bepa","WarmS/WarmF",0,0,1,0,15,8,15,15
"Bepa","WarmS/WarmF_nitro",0,0,0,0,15,9,15,15
"Pist","CoolS/CoolF",3,13,15,14,15,2,14,15
"Pist","CoolS/CoolF_nitro",1,15,15,15,15,2,15,15
"Pist","CoolS/WarmF",4,15,15,15,15,5,15,15
"Pist","WarmS/CoolF",0,3,15,13,15,1,15,15
"Pist","WarmS/WarmF",0,3,15,12,15,2,15,15
"Pist","WarmS/WarmF_nitro",0,5,15,14,15,2,15,15
"Poba","CoolS/CoolF",0,3,11,15,15,5,9,10
"Poba","CoolS/CoolF_nitro",0,2,12,15,15,5,12,13
"Poba","CoolS/WarmF",0,6,13,15,15,6,13,15
"Poba","WarmS/CoolF",0,0,1,1,15,5,9,9
"Poba","WarmS/WarmF",0,0,1,1,15,9,7,9
"Poba","WarmS/WarmF_nitro",0,5,3,3,15,9,11,12
"Prvi","CoolS/CoolF",0,0,1,2,15,10,15,15
"Prvi","CoolS/CoolF_nitro",0,0,3,5,15,13,12,13
"Prvi","CoolS/WarmF",0,0,2,2,14,11,12,14
"Prvi","WarmS/CoolF",0,0,1,1,14,6,6,12
"Prvi","WarmS/WarmF",0,1,1,1,14,4,6,12
"Prvi","WarmS/WarmF_nitro",0,0,1,3,14,9,9,13
"Quma","CoolS/CoolF",6,13,15,15,15,11,15,15
"Quma","CoolS/CoolF_nitro",8,14,15,15,15,10,15,15
"Quma","CoolS/WarmF",8,14,15,14,14,10,15,14
"Quma","WarmS/CoolF",0,7,11,15,15,8,15,15
"Quma","WarmS/WarmF",0,6,12,13,14,11,13,13
"Quma","WarmS/WarmF_nitro",1,2,10,15,15,10,15,15
"Segi","CoolS/CoolF",7,15,11,9,0,0,0,0
"Segi","CoolS/CoolF_nitro",5,15,11,11,0,0,0,0
"Segi","CoolS/WarmF",3,15,11,10,0,0,0,0
"Segi","WarmS/CoolF",4,15,11,9,0,0,0,0
"Segi","WarmS/WarmF",5,15,8,8,0,0,0,0
"Segi","WarmS/WarmF_nitro",1,15,14,14,0,0,0,0
