#,Date-Time (PDT),Light   (lux),Host Connected,End of File
1,06-09-2024 16:00:40,8780.80,,
2,06-09-2024 16:05:40,12180.48,,
3,06-09-2024 16:10:40,5358.08,,
4,06-09-2024 16:15:40,6046.72,,
5,06-09-2024 16:20:40,6092.80,,
6,06-09-2024 16:25:40,5911.04,,
7,06-09-2024 16:30:40,5032.96,,
8,06-09-2024 16:35:40,5596.16,,
9,06-09-2024 16:40:40,6917.12,,
10,06-09-2024 16:45:40,4963.84,,
11,06-09-2024 16:50:40,4802.56,,
12,06-09-2024 16:55:40,4350.72,,
13,06-09-2024 17:00:40,4887.04,,
14,06-09-2024 17:05:40,12349.44,,
15,06-09-2024 17:10:40,8143.36,,
16,06-09-2024 17:15:40,6699.52,,
17,06-09-2024 17:20:40,11438.08,,
18,06-09-2024 17:25:40,4341.76,,
19,06-09-2024 17:30:40,3663.36,,
20,06-09-2024 17:35:40,3513.60,,
21,06-09-2024 17:40:40,3413.76,,
22,06-09-2024 17:45:40,3994.88,,
23,06-09-2024 17:50:40,3266.56,,
24,06-09-2024 17:55:40,3206.40,,
25,06-09-2024 18:00:40,3208.96,,
26,06-09-2024 18:05:40,3605.76,,
27,06-09-2024 18:10:40,3462.40,,
28,06-09-2024 18:15:40,3656.96,,
29,06-09-2024 18:20:40,3407.36,,
30,06-09-2024 18:25:40,3224.32,,
31,06-09-2024 18:30:40,4695.04,,
32,06-09-2024 18:35:40,3206.40,,
33,06-09-2024 18:40:40,4135.68,,
34,06-09-2024 18:45:40,2744.32,,
35,06-09-2024 18:50:40,2630.40,,
36,06-09-2024 18:55:40,2467.84,,
37,06-09-2024 19:00:40,2396.16,,
38,06-09-2024 19:05:40,2339.84,,
39,06-09-2024 19:10:40,2277.76,,
40,06-09-2024 19:15:40,2232.32,,
41,06-09-2024 19:20:40,2195.20,,
42,06-09-2024 19:25:40,2146.56,,
43,06-09-2024 19:30:40,2090.24,,
44,06-09-2024 19:35:40,2030.72,,
45,06-09-2024 19:40:40,1959.68,,
46,06-09-2024 19:45:40,1893.76,,
47,06-09-2024 19:50:40,1792.00,,
48,06-09-2024 19:55:40,1779.84,,
49,06-09-2024 20:00:40,1685.12,,
50,06-09-2024 20:05:40,1591.04,,
51,06-09-2024 20:10:40,1500.80,,
52,06-09-2024 20:15:40,1409.92,,
53,06-09-2024 20:20:40,1315.84,,
54,06-09-2024 20:25:40,1215.04,,
55,06-09-2024 20:30:40,1107.52,,
56,06-09-2024 20:35:40,996.48,,
57,06-09-2024 20:40:40,886.72,,
58,06-09-2024 20:45:40,769.92,,
59,06-09-2024 20:50:40,654.72,,
60,06-09-2024 20:55:40,546.56,,
61,06-09-2024 21:00:40,441.12,,
62,06-09-2024 21:05:40,340.64,,
63,06-09-2024 21:10:40,249.68,,
64,06-09-2024 21:15:40,177.52,,
65,06-09-2024 21:20:40,117.12,,
66,06-09-2024 21:25:40,73.56,,
67,06-09-2024 21:30:40,43.62,,
68,06-09-2024 21:35:40,24.07,,
69,06-09-2024 21:40:40,12.99,,
70,06-09-2024 21:45:40,6.85,,
71,06-09-2024 21:50:40,3.23,,
72,06-09-2024 21:55:40,1.52,,
73,06-09-2024 22:00:40,0.57,,
74,06-09-2024 22:05:40,0.19,,
75,06-09-2024 22:10:40,0.00,,
76,06-09-2024 22:15:40,0.00,,
77,06-09-2024 22:20:40,0.00,,
78,06-09-2024 22:25:40,0.00,,
79,06-09-2024 22:30:40,0.00,,
80,06-09-2024 22:35:40,0.00,,
81,06-09-2024 22:40:40,0.00,,
82,06-09-2024 22:45:40,0.00,,
83,06-09-2024 22:50:40,0.00,,
84,06-09-2024 22:55:40,0.00,,
85,06-09-2024 23:00:40,0.00,,
86,06-09-2024 23:05:40,0.00,,
87,06-09-2024 23:10:40,0.00,,
88,06-09-2024 23:15:40,0.00,,
89,06-09-2024 23:20:40,0.00,,
90,06-09-2024 23:25:40,0.00,,
91,06-09-2024 23:30:40,0.00,,
92,06-09-2024 23:35:40,0.00,,
93,06-09-2024 23:40:40,0.00,,
94,06-09-2024 23:45:40,0.00,,
95,06-09-2024 23:50:40,0.00,,
96,06-09-2024 23:55:40,0.00,,
97,06-10-2024 00:00:40,0.00,,
98,06-10-2024 00:05:40,0.00,,
99,06-10-2024 00:10:40,0.00,,
100,06-10-2024 00:15:40,0.00,,
101,06-10-2024 00:20:40,0.00,,
102,06-10-2024 00:25:40,0.00,,
103,06-10-2024 00:30:40,0.00,,
104,06-10-2024 00:35:40,0.00,,
105,06-10-2024 00:40:40,0.00,,
106,06-10-2024 00:45:40,0.00,,
107,06-10-2024 00:50:40,0.00,,
108,06-10-2024 00:55:40,0.00,,
109,06-10-2024 01:00:40,0.00,,
110,06-10-2024 01:05:40,0.00,,
111,06-10-2024 01:10:40,0.00,,
112,06-10-2024 01:15:40,0.00,,
113,06-10-2024 01:20:40,0.00,,
114,06-10-2024 01:25:40,0.00,,
115,06-10-2024 01:30:40,0.00,,
116,06-10-2024 01:35:40,0.00,,
117,06-10-2024 01:40:40,0.00,,
118,06-10-2024 01:45:40,0.00,,
119,06-10-2024 01:50:40,0.00,,
120,06-10-2024 01:55:40,0.00,,
121,06-10-2024 02:00:40,0.00,,
122,06-10-2024 02:05:40,0.00,,
123,06-10-2024 02:10:40,0.00,,
124,06-10-2024 02:15:40,0.00,,
125,06-10-2024 02:20:40,0.00,,
126,06-10-2024 02:25:40,0.00,,
127,06-10-2024 02:30:40,0.00,,
128,06-10-2024 02:35:40,0.00,,
129,06-10-2024 02:40:40,0.00,,
130,06-10-2024 02:45:40,0.00,,
131,06-10-2024 02:50:40,0.00,,
132,06-10-2024 02:55:40,0.00,,
133,06-10-2024 03:00:40,0.00,,
134,06-10-2024 03:05:40,0.00,,
135,06-10-2024 03:10:40,0.00,,
136,06-10-2024 03:15:40,0.00,,
137,06-10-2024 03:20:40,0.00,,
138,06-10-2024 03:25:40,0.00,,
139,06-10-2024 03:30:40,0.00,,
140,06-10-2024 03:35:40,0.00,,
141,06-10-2024 03:40:40,0.00,,
142,06-10-2024 03:45:40,0.00,,
143,06-10-2024 03:50:40,0.00,,
144,06-10-2024 03:55:40,0.00,,
145,06-10-2024 04:00:40,0.00,,
146,06-10-2024 04:05:40,0.00,,
147,06-10-2024 04:10:40,0.00,,
148,06-10-2024 04:15:40,0.00,,
149,06-10-2024 04:20:40,0.38,,
150,06-10-2024 04:25:40,1.14,,
151,06-10-2024 04:30:40,2.47,,
152,06-10-2024 04:35:40,4.94,,
153,06-10-2024 04:40:40,9.92,,
154,06-10-2024 04:45:40,18.72,,
155,06-10-2024 04:50:40,34.02,,
156,06-10-2024 04:55:40,59.28,,
157,06-10-2024 05:00:40,94.96,,
158,06-10-2024 05:05:40,151.60,,
159,06-10-2024 05:10:40,170.16,,
160,06-10-2024 05:15:40,173.76,,
161,06-10-2024 05:20:40,218.88,,
162,06-10-2024 05:25:40,311.52,,
163,06-10-2024 05:30:40,417.92,,
164,06-10-2024 05:35:40,684.80,,
165,06-10-2024 05:40:40,824.32,,
166,06-10-2024 05:45:40,873.28,,
167,06-10-2024 05:50:40,1126.72,,
168,06-10-2024 05:55:40,1406.08,,
169,06-10-2024 06:00:40,2122.24,,
170,06-10-2024 06:05:40,2373.76,,
171,06-10-2024 06:10:40,1923.20,,
172,06-10-2024 06:15:40,1528.96,,
173,06-10-2024 06:20:40,2478.72,,
174,06-10-2024 06:25:40,2869.76,,
175,06-10-2024 06:30:40,3197.44,,
176,06-10-2024 06:35:40,2831.36,,
177,06-10-2024 06:40:40,3100.16,,
178,06-10-2024 06:45:40,2845.44,,
179,06-10-2024 06:50:40,3687.68,,
180,06-10-2024 06:55:40,3712.00,,
181,06-10-2024 07:00:40,3906.56,,
182,06-10-2024 07:05:40,3416.32,,
183,06-10-2024 07:10:40,3811.84,,
184,06-10-2024 07:15:40,4385.28,,
185,06-10-2024 07:20:40,3851.52,,
186,06-10-2024 07:25:40,6028.80,,
187,06-10-2024 07:30:40,6026.24,,
188,06-10-2024 07:35:40,5890.56,,
