#,Date-Time (PDT),Light   (lux),Host Connected,End of File
1,06-09-2024 16:11:30,1584.00,,
2,06-09-2024 16:16:30,1799.04,,
3,06-09-2024 16:21:30,2022.40,,
4,06-09-2024 16:26:30,2044.80,,
5,06-09-2024 16:31:30,2060.80,,
6,06-09-2024 16:36:30,1569.28,,
7,06-09-2024 16:41:30,1613.44,,
8,06-09-2024 16:46:30,1633.28,,
9,06-09-2024 16:51:30,1987.84,,
10,06-09-2024 16:56:30,2400.64,,
11,06-09-2024 17:01:30,1613.44,,
12,06-09-2024 17:06:30,1411.84,,
13,06-09-2024 17:11:30,1315.20,,
14,06-09-2024 17:16:30,1349.12,,
15,06-09-2024 17:21:30,1421.44,,
16,06-09-2024 17:26:30,1270.08,,
17,06-09-2024 17:31:30,1193.28,,
18,06-09-2024 17:36:30,1174.08,,
19,06-09-2024 17:41:30,1162.56,,
20,06-09-2024 17:46:30,1135.36,,
21,06-09-2024 17:51:30,1113.60,,
22,06-09-2024 17:56:30,1094.08,,
23,06-09-2024 18:01:30,1088.64,,
24,06-09-2024 18:06:30,1571.20,,
25,06-09-2024 18:11:30,3010.56,,
26,06-09-2024 18:16:30,2428.80,,
27,06-09-2024 18:21:30,1856.64,,
28,06-09-2024 18:26:30,992.00,,
29,06-09-2024 18:31:30,959.04,,
30,06-09-2024 18:36:30,926.40,,
31,06-09-2024 18:41:30,896.64,,
32,06-09-2024 18:46:30,858.88,,
33,06-09-2024 18:51:30,826.24,,
34,06-09-2024 18:56:30,802.56,,
35,06-09-2024 19:01:30,781.12,,
36,06-09-2024 19:06:30,762.24,,
37,06-09-2024 19:11:30,742.72,,
38,06-09-2024 19:16:30,725.76,,
39,06-09-2024 19:21:30,714.24,,
40,06-09-2024 19:26:30,696.64,,
41,06-09-2024 19:31:30,674.56,,
42,06-09-2024 19:36:30,656.96,,
43,06-09-2024 19:41:30,632.16,,
44,06-09-2024 19:46:30,614.72,,
45,06-09-2024 19:51:30,592.32,,
46,06-09-2024 19:56:30,570.56,,
47,06-09-2024 20:01:30,547.52,,
48,06-09-2024 20:06:30,509.12,,
49,06-09-2024 20:11:30,479.84,,
50,06-09-2024 20:16:30,448.96,,
51,06-09-2024 20:21:30,420.48,,
52,06-09-2024 20:26:30,387.84,,
53,06-09-2024 20:31:30,350.08,,
54,06-09-2024 20:36:30,317.28,,
55,06-09-2024 20:41:30,278.72,,
56,06-09-2024 20:46:30,241.04,,
57,06-09-2024 20:51:30,203.84,,
58,06-09-2024 20:56:30,169.04,,
59,06-09-2024 21:01:30,134.56,,
60,06-09-2024 21:06:30,103.00,,
61,06-09-2024 21:11:30,74.66,,
62,06-09-2024 21:16:30,52.38,,
63,06-09-2024 21:21:30,34.53,,
64,06-09-2024 21:26:30,21.35,,
65,06-09-2024 21:31:30,12.43,,
66,06-09-2024 21:36:30,6.87,,
67,06-09-2024 21:41:30,3.50,,
68,06-09-2024 21:46:30,1.89,,
69,06-09-2024 21:51:30,0.87,,
70,06-09-2024 21:56:30,0.36,,
71,06-09-2024 22:01:30,0.07,,
72,06-09-2024 22:06:30,0.00,,
73,06-09-2024 22:11:30,0.00,,
74,06-09-2024 22:16:30,0.00,,
75,06-09-2024 22:21:30,0.00,,
76,06-09-2024 22:26:30,0.00,,
77,06-09-2024 22:31:30,0.00,,
78,06-09-2024 22:36:30,0.00,,
79,06-09-2024 22:41:30,0.00,,
80,06-09-2024 22:46:30,0.00,,
81,06-09-2024 22:51:30,0.00,,
82,06-09-2024 22:56:30,0.00,,
83,06-09-2024 23:01:30,0.00,,
84,06-09-2024 23:06:30,0.00,,
85,06-09-2024 23:11:30,0.00,,
86,06-09-2024 23:16:30,0.00,,
87,06-09-2024 23:21:30,0.00,,
88,06-09-2024 23:26:30,0.00,,
89,06-09-2024 23:31:30,0.00,,
90,06-09-2024 23:36:30,0.00,,
91,06-09-2024 23:41:30,0.00,,
92,06-09-2024 23:46:30,0.00,,
93,06-09-2024 23:51:30,0.00,,
94,06-09-2024 23:56:30,0.00,,
95,06-10-2024 00:01:30,0.00,,
96,06-10-2024 00:06:30,0.00,,
97,06-10-2024 00:11:30,0.00,,
98,06-10-2024 00:16:30,0.00,,
99,06-10-2024 00:21:30,0.00,,
100,06-10-2024 00:26:30,0.00,,
101,06-10-2024 00:31:30,0.00,,
102,06-10-2024 00:36:30,0.00,,
103,06-10-2024 00:41:30,0.00,,
104,06-10-2024 00:46:30,0.07,,
105,06-10-2024 00:51:30,0.00,,
106,06-10-2024 00:56:30,0.00,,
107,06-10-2024 01:01:30,0.00,,
108,06-10-2024 01:06:30,0.00,,
109,06-10-2024 01:11:30,0.00,,
110,06-10-2024 01:16:30,0.00,,
111,06-10-2024 01:21:30,0.00,,
112,06-10-2024 01:26:30,0.00,,
113,06-10-2024 01:31:30,0.00,,
114,06-10-2024 01:36:30,0.00,,
115,06-10-2024 01:41:30,0.00,,
116,06-10-2024 01:46:30,0.00,,
117,06-10-2024 01:51:30,0.00,,
118,06-10-2024 01:56:30,0.00,,
119,06-10-2024 02:01:30,0.00,,
120,06-10-2024 02:06:30,0.00,,
121,06-10-2024 02:11:30,0.00,,
122,06-10-2024 02:16:30,0.00,,
123,06-10-2024 02:21:30,0.00,,
124,06-10-2024 02:26:30,0.00,,
125,06-10-2024 02:31:30,0.00,,
126,06-10-2024 02:36:30,0.00,,
127,06-10-2024 02:41:30,0.00,,
