#,Date-Time (PDT),Temperature   (°C),Light   (lux),Host Connected,End of File
1,06-10-2024 18:16:16,33.42,4742.40,,
2,06-10-2024 18:21:16,31.19,16936.96,,
3,06-10-2024 18:26:16,29.86,16419.84,,
4,06-10-2024 18:31:16,28.74,14945.28,,
5,06-10-2024 18:36:16,26.85,10129.92,,
6,06-10-2024 18:41:16,25.14,11095.04,,
7,06-10-2024 18:46:16,23.94,9832.96,,
8,06-10-2024 18:51:16,22.65,7795.20,,
9,06-10-2024 18:56:16,21.28,7354.88,,
10,06-10-2024 19:01:16,20.72,7959.04,,
11,06-10-2024 19:06:16,19.99,6120.96,,
12,06-10-2024 19:11:16,19.30,4793.60,,
13,06-10-2024 19:16:16,18.57,4354.56,,
14,06-10-2024 19:21:16,17.97,4156.16,,
15,06-10-2024 19:26:16,17.54,3985.92,,
16,06-10-2024 19:31:16,17.20,3882.24,,
17,06-10-2024 19:36:16,17.03,3907.84,,
18,06-10-2024 19:41:16,16.86,3806.72,,
19,06-10-2024 19:46:16,16.73,3518.72,,
20,06-10-2024 19:51:16,16.39,3345.92,,
21,06-10-2024 19:56:16,15.87,3169.28,,
22,06-10-2024 20:01:16,15.44,3009.28,,
23,06-10-2024 20:06:16,14.97,2864.64,,
24,06-10-2024 20:11:16,14.75,2705.92,,
25,06-10-2024 20:16:16,14.50,2590.72,,
26,06-10-2024 20:21:16,14.28,2417.28,,
27,06-10-2024 20:26:16,14.20,1920.64,,
28,06-10-2024 20:31:16,13.98,1666.56,,
29,06-10-2024 20:36:16,13.81,1459.20,,
30,06-10-2024 20:41:16,13.64,1275.52,,
31,06-10-2024 20:46:16,13.30,1097.60,,
32,06-10-2024 20:51:16,13.08,929.60,,
33,06-10-2024 20:56:16,13.04,781.12,,
34,06-10-2024 21:01:16,13.08,646.88,,
35,06-10-2024 21:06:16,13.04,512.80,,
36,06-10-2024 21:11:16,12.82,382.72,,
37,06-10-2024 21:16:16,12.78,278.08,,
38,06-10-2024 21:21:16,12.91,187.84,,
39,06-10-2024 21:26:16,13.25,115.60,,
40,06-10-2024 21:31:16,13.47,68.50,,
41,06-10-2024 21:36:16,13.55,37.94,,
42,06-10-2024 21:41:16,13.60,16.60,,
43,06-10-2024 21:46:16,13.73,7.29,,
44,06-10-2024 21:51:16,13.90,3.54,,
45,06-10-2024 21:56:16,14.11,1.97,,
46,06-10-2024 22:01:16,14.28,0.78,,
47,06-10-2024 22:06:16,14.41,0.39,,
48,06-10-2024 22:11:16,14.54,0.19,,
49,06-10-2024 22:16:16,14.63,0.19,,
50,06-10-2024 22:21:16,14.63,0.00,,
51,06-10-2024 22:26:16,14.58,0.00,,
52,06-10-2024 22:31:16,14.50,0.00,,
53,06-10-2024 22:36:16,14.33,0.00,,
54,06-10-2024 22:41:16,14.33,0.00,,
55,06-10-2024 22:46:16,14.33,0.00,,
56,06-10-2024 22:51:16,14.20,0.00,,
57,06-10-2024 22:56:16,14.33,0.00,,
58,06-10-2024 23:01:16,14.63,0.00,,
59,06-10-2024 23:06:16,14.80,0.00,,
60,06-10-2024 23:11:16,14.84,0.00,,
61,06-10-2024 23:16:16,14.75,0.00,,
62,06-10-2024 23:21:16,14.84,0.00,,
63,06-10-2024 23:26:16,14.93,0.00,,
64,06-10-2024 23:31:16,14.75,0.00,,
65,06-10-2024 23:36:16,14.58,0.00,,
66,06-10-2024 23:41:16,14.58,0.00,,
67,06-10-2024 23:46:16,14.63,0.00,,
68,06-10-2024 23:51:16,14.63,0.00,,
69,06-10-2024 23:56:16,14.71,0.00,,
70,06-11-2024 00:01:16,14.80,0.00,,
71,06-11-2024 00:06:16,14.88,0.00,,
72,06-11-2024 00:11:16,14.88,0.19,,
73,06-11-2024 00:16:16,15.10,0.00,,
74,06-11-2024 00:21:16,15.01,0.00,,
75,06-11-2024 00:26:16,15.01,0.00,,
76,06-11-2024 00:31:16,14.93,0.00,,
77,06-11-2024 00:36:16,14.88,0.00,,
78,06-11-2024 00:41:16,14.84,0.00,,
79,06-11-2024 00:46:16,14.80,0.00,,
80,06-11-2024 00:51:16,14.67,0.00,,
81,06-11-2024 00:56:16,14.63,0.00,,
82,06-11-2024 01:01:16,14.45,0.00,,
83,06-11-2024 01:06:16,14.33,0.00,,
84,06-11-2024 01:11:16,14.15,0.00,,
85,06-11-2024 01:16:16,14.07,0.00,,
86,06-11-2024 01:21:16,13.90,0.00,,
87,06-11-2024 01:26:16,13.68,0.00,,
88,06-11-2024 01:31:16,13.64,0.00,,
89,06-11-2024 01:36:16,13.68,0.00,,
90,06-11-2024 01:41:16,13.64,0.00,,
91,06-11-2024 01:46:16,13.60,0.00,,
92,06-11-2024 01:51:16,13.68,0.00,,
93,06-11-2024 01:56:16,13.68,0.00,,
94,06-11-2024 02:01:16,13.73,0.00,,
95,06-11-2024 02:06:16,13.77,0.00,,
96,06-11-2024 02:11:16,13.94,0.00,,
97,06-11-2024 02:16:16,14.03,0.00,,
98,06-11-2024 02:21:16,14.28,0.00,,
99,06-11-2024 02:26:16,14.20,0.00,,
100,06-11-2024 02:31:16,14.07,0.00,,
101,06-11-2024 02:36:16,13.85,0.00,,
102,06-11-2024 02:41:16,13.81,0.00,,
103,06-11-2024 02:46:16,13.90,0.00,,
104,06-11-2024 02:51:16,13.98,0.00,,
105,06-11-2024 02:56:16,13.98,0.00,,
106,06-11-2024 03:01:16,14.07,0.00,,
107,06-11-2024 03:06:16,14.11,0.00,,
108,06-11-2024 03:11:16,13.98,0.00,,
109,06-11-2024 03:16:16,13.81,0.00,,
110,06-11-2024 03:21:16,13.68,0.00,,
111,06-11-2024 03:26:16,13.60,0.00,,
112,06-11-2024 03:31:16,13.55,0.00,,
113,06-11-2024 03:36:16,13.34,0.00,,
114,06-11-2024 03:41:16,13.25,0.00,,
115,06-11-2024 03:46:16,13.21,0.00,,
116,06-11-2024 03:51:16,13.17,0.00,,
117,06-11-2024 03:56:16,13.00,0.00,,
118,06-11-2024 04:01:16,12.82,0.00,,
119,06-11-2024 04:06:16,12.78,0.19,,
120,06-11-2024 04:11:16,12.78,0.00,,
121,06-11-2024 04:16:16,12.74,0.00,,
122,06-11-2024 04:21:16,12.74,0.00,,
123,06-11-2024 04:26:16,12.70,0.19,,
124,06-11-2024 04:31:16,12.78,0.78,,
125,06-11-2024 04:36:16,12.74,2.16,,
126,06-11-2024 04:41:16,12.65,2.36,,
127,06-11-2024 04:46:16,12.65,4.33,,
128,06-11-2024 04:51:16,12.61,7.49,,
129,06-11-2024 04:56:16,12.61,15.22,,
130,06-11-2024 05:01:16,12.57,37.55,,
131,06-11-2024 05:06:16,12.57,54.60,,
132,06-11-2024 05:11:16,12.57,102.20,,
133,06-11-2024 05:16:16,12.57,103.76,,
134,06-11-2024 05:21:16,12.57,169.52,,
135,06-11-2024 05:26:16,12.65,285.20,,
136,06-11-2024 05:31:16,12.61,380.32,,
137,06-11-2024 05:36:16,12.65,413.12,,
138,06-11-2024 05:41:16,12.78,818.24,,
