#,Date-Time (PST/PDT),Temperature   (°C),RH   (%),Dew Point   (°C),Host Connected,End of File
1,03-07-2024 14:39:17,7.86,91.19,6.52,,
2,03-07-2024 14:49:17,7.76,81.33,4.77,,
3,03-07-2024 14:59:17,7.90,89.85,6.35,,
4,03-07-2024 15:09:17,7.83,83.53,5.22,,
5,03-07-2024 15:19:17,6.96,77.55,3.31,,
6,03-07-2024 15:29:17,7.18,86.01,5.01,,
7,03-07-2024 15:39:17,7.50,89.44,5.89,,
8,03-07-2024 15:49:17,8.21,83.32,5.56,,
9,03-07-2024 15:59:17,7.28,82.92,4.58,,
10,03-07-2024 16:09:17,7.18,90.10,5.68,,
11,03-07-2024 16:19:17,7.84,79.95,4.60,,
12,03-07-2024 16:29:17,7.72,86.19,5.57,,
13,03-07-2024 16:39:17,7.54,84.33,5.07,,
14,03-07-2024 16:49:17,6.71,77.74,3.11,,
15,03-07-2024 16:59:17,7.40,92.92,6.34,,
16,03-07-2024 17:09:17,7.87,92.55,6.75,,
17,03-07-2024 17:19:17,8.07,81.20,5.05,,
18,03-07-2024 17:29:17,7.23,77.95,3.64,,
19,03-07-2024 17:39:17,7.04,93.06,6.00,,
20,03-07-2024 17:49:17,7.59,80.23,4.41,,
21,03-07-2024 17:59:17,7.92,89.73,6.35,,
22,03-07-2024 18:09:17,7.44,86.03,5.26,,
23,03-07-2024 18:19:17,6.88,79.58,3.60,,
24,03-07-2024 18:29:17,7.40,86.62,5.32,,
25,03-07-2024 18:39:17,7.71,91.47,6.41,,
26,03-07-2024 18:49:17,7.92,83.75,5.35,,
27,03-07-2024 18:59:17,6.82,83.39,4.21,,
28,03-07-2024 19:09:17,6.83,90.52,5.39,,
29,03-07-2024 19:19:17,6.98,74.30,2.73,,
30,03-07-2024 19:29:17,5.99,84.57,3.60,,
31,03-07-2024 19:39:17,4.56,84.96,2.25,,
32,03-07-2024 19:49:17,3.53,82.40,0.81,,
33,03-07-2024 19:59:17,4.05,87.40,2.15,,
34,03-07-2024 20:09:17,4.49,93.51,3.54,,
35,03-07-2024 20:19:17,4.77,83.47,2.21,,
36,03-07-2024 20:29:17,4.02,85.51,1.81,,
37,03-07-2024 20:39:17,4.26,92.30,3.12,,
38,03-07-2024 20:49:17,4.68,82.10,1.90,,
39,03-07-2024 20:59:17,4.90,90.23,3.44,,
40,03-07-2024 21:09:17,4.47,85.26,2.22,,
41,03-07-2024 21:19:17,4.13,80.88,1.14,,
42,03-07-2024 21:29:17,4.48,83.92,2.00,,
43,03-07-2024 21:39:17,5.00,93.28,4.00,,
44,03-07-2024 21:49:17,5.39,82.21,2.61,,
