#,Date-Time (PDT),Light   (lux),Host Connected,End of File
1,06-09-2024 13:14:19,3509.76,,
2,06-09-2024 13:19:19,25180.16,,
3,06-09-2024 13:24:19,12764.16,,
4,06-09-2024 13:29:19,7659.52,,
5,06-09-2024 13:34:19,11166.72,,
6,06-09-2024 13:39:19,8391.68,,
7,06-09-2024 13:44:19,8616.96,,
8,06-09-2024 13:49:19,10150.40,,
9,06-09-2024 13:54:19,5294.08,,
10,06-09-2024 13:59:19,6571.52,,
11,06-09-2024 14:04:19,4578.56,,
12,06-09-2024 14:09:19,2396.16,,
13,06-09-2024 14:14:19,2230.40,,
14,06-09-2024 14:19:19,2262.40,,
15,06-09-2024 14:24:19,2400.00,,
16,06-09-2024 14:29:19,2197.76,,
17,06-09-2024 14:34:19,2345.60,,
18,06-09-2024 14:39:19,2142.08,,
19,06-09-2024 14:44:19,2199.68,,
20,06-09-2024 14:49:19,5772.80,,
21,06-09-2024 14:54:19,6865.92,,
22,06-09-2024 14:59:19,3313.92,,
23,06-09-2024 15:04:19,3434.24,,
24,06-09-2024 15:09:19,5103.36,,
25,06-09-2024 15:14:19,4967.68,,
26,06-09-2024 15:19:19,4267.52,,
27,06-09-2024 15:24:19,2872.32,,
28,06-09-2024 15:29:19,3316.48,,
29,06-09-2024 15:34:19,4218.88,,
30,06-09-2024 15:39:19,5312.00,,
31,06-09-2024 15:44:19,3212.80,,
32,06-09-2024 15:49:19,3224.32,,
33,06-09-2024 15:54:19,4152.32,,
34,06-09-2024 15:59:19,3500.80,,
35,06-09-2024 16:04:19,4654.08,,
36,06-09-2024 16:09:19,5655.04,,
37,06-09-2024 16:14:19,6778.88,,
38,06-09-2024 16:19:19,6021.12,,
39,06-09-2024 16:24:19,4691.20,,
40,06-09-2024 16:29:19,3212.80,,
41,06-09-2024 16:34:19,2900.48,,
42,06-09-2024 16:39:19,4044.80,,
43,06-09-2024 16:44:19,2784.00,,
44,06-09-2024 16:49:19,3582.72,,
45,06-09-2024 16:54:19,4670.72,,
46,06-09-2024 16:59:19,3224.32,,
47,06-09-2024 17:04:19,2396.16,,
48,06-09-2024 17:09:19,2223.36,,
49,06-09-2024 17:14:19,2251.52,,
50,06-09-2024 17:19:19,2045.44,,
51,06-09-2024 17:24:19,2410.88,,
52,06-09-2024 17:29:19,2209.28,,
53,06-09-2024 17:34:19,1973.76,,
54,06-09-2024 17:39:19,2090.24,,
55,06-09-2024 17:44:19,2414.08,,
56,06-09-2024 17:49:19,2311.68,,
