#,Date-Time (PDT),Light   (lux),Host Connected,Button Down,Button Up,End of File
1,06-09-2024 13:17:05,15406.08,,,,
2,06-09-2024 13:17:38,,Logged,,,
3,06-09-2024 13:22:05,74588.16,,,,
4,06-09-2024 13:27:05,74813.44,,,,
5,06-09-2024 13:32:05,63733.76,,,,
6,06-09-2024 13:37:05,63692.80,,,,
7,06-09-2024 13:42:05,43028.48,,,,
8,06-09-2024 13:47:05,46428.16,,,,
9,06-09-2024 13:52:05,47308.80,,,,
10,06-09-2024 13:57:05,65495.04,,,,
11,06-09-2024 14:02:05,69283.84,,,,
12,06-09-2024 14:07:05,68567.04,,,,
13,06-09-2024 14:12:05,66007.04,,,,
14,06-09-2024 14:17:05,64819.20,,,,
15,06-09-2024 14:22:05,16527.36,,,,
16,06-09-2024 14:27:05,33003.52,,,,
17,06-09-2024 14:32:05,9884.16,,,,
18,06-09-2024 14:37:05,9707.52,,,,
19,06-09-2024 14:42:05,8555.52,,,,
20,06-09-2024 14:47:05,8235.52,,,,
21,06-09-2024 14:52:05,11299.84,,,,
22,06-09-2024 14:57:05,13470.72,,,,
23,06-09-2024 15:02:05,38328.32,,,,
24,06-09-2024 15:07:05,46305.28,,,,
25,06-09-2024 15:12:05,45629.44,,,,
26,06-09-2024 15:17:05,57753.60,,,,
27,06-09-2024 15:22:05,55582.72,,,,
28,06-09-2024 15:27:05,50872.32,,,,
29,06-09-2024 15:32:05,42557.44,,,,
30,06-09-2024 15:37:05,29992.96,,,,
31,06-09-2024 15:42:05,49295.36,,,,
32,06-09-2024 15:47:05,52039.68,,,,
33,06-09-2024 15:52:05,50155.52,,,,
34,06-09-2024 15:57:05,48230.40,,,,
35,06-09-2024 16:02:05,49336.32,,,,
36,06-09-2024 16:03:22,,,Logged,Logged,
37,06-09-2024 16:07:05,48660.48,,,,
38,06-09-2024 16:12:05,46141.44,,,,
39,06-09-2024 16:17:05,44933.12,,,,
40,06-09-2024 16:22:05,40919.04,,,,
41,06-09-2024 16:27:05,25067.52,,,,
42,06-09-2024 16:32:05,14848.00,,,,
43,06-09-2024 16:37:05,10654.72,,,,
44,06-09-2024 16:42:05,10280.96,,,,
45,06-09-2024 16:47:05,13214.72,,,,
46,06-09-2024 16:52:05,12293.12,,,,
47,06-09-2024 16:57:05,11023.36,,,,
48,06-09-2024 17:02:05,12984.32,,,,
49,06-09-2024 17:07:05,12871.68,,,,
50,06-09-2024 17:12:05,29962.24,,,,
51,06-09-2024 17:17:05,18667.52,,,,
52,06-09-2024 17:22:05,13102.08,,,,
53,06-09-2024 17:27:05,15846.40,,,,
54,06-09-2024 17:32:05,10211.84,,,,
55,06-09-2024 17:37:05,8732.16,,,,
56,06-09-2024 17:42:05,8680.96,,,,
57,06-09-2024 17:47:05,9707.52,,,,
58,06-09-2024 17:52:05,19522.56,,,,
59,06-09-2024 17:57:05,9280.00,,,,
60,06-09-2024 18:02:05,17413.12,,,,
61,06-09-2024 18:07:05,13015.04,,,,
62,06-09-2024 18:12:05,22824.96,,,,
63,06-09-2024 18:17:05,11560.96,,,,
64,06-09-2024 18:22:05,8727.04,,,,
65,06-09-2024 18:27:05,6963.20,,,,
66,06-09-2024 18:32:05,7265.28,,,,
67,06-09-2024 18:37:05,5926.40,,,,
68,06-09-2024 18:42:05,5283.84,,,,
69,06-09-2024 18:47:05,4702.72,,,,
70,06-09-2024 18:52:05,4450.56,,,,
71,06-09-2024 18:57:05,3891.20,,,,
72,06-09-2024 19:02:05,3623.68,,,,
73,06-09-2024 19:07:05,3388.16,,,,
74,06-09-2024 19:12:05,3265.28,,,,
75,06-09-2024 19:17:05,3188.48,,,,
76,06-09-2024 19:22:05,3133.44,,,,
77,06-09-2024 19:27:05,3046.40,,,,
78,06-09-2024 19:32:05,2949.12,,,,
79,06-09-2024 19:37:05,2842.88,,,,
80,06-09-2024 19:42:05,2758.40,,,,
81,06-09-2024 19:47:05,2684.16,,,,
82,06-09-2024 19:52:05,2717.44,,,,
83,06-09-2024 19:57:05,2560.64,,,,
84,06-09-2024 20:02:05,2379.52,,,,
85,06-09-2024 20:07:05,2220.80,,,,
86,06-09-2024 20:12:05,2079.36,,,,
87,06-09-2024 20:17:05,1948.80,,,,
88,06-09-2024 20:22:05,1811.84,,,,
89,06-09-2024 20:27:05,1664.00,,,,
90,06-09-2024 20:32:05,1507.20,,,,
91,06-09-2024 20:37:05,1352.96,,,,
92,06-09-2024 20:42:05,1190.72,,,,
93,06-09-2024 20:47:05,1025.60,,,,
94,06-09-2024 20:52:05,862.72,,,,
95,06-09-2024 20:57:05,710.40,,,,
96,06-09-2024 21:02:05,566.56,,,,
