#,Date-Time (PDT),Temperature   (°C),Light   (lux),Host Connected,End of File
1,07-01-2024 15:16:01,22.86,10649.60,,
2,07-01-2024 15:17:01,23.03,10639.36,,
3,07-01-2024 15:18:01,22.95,10634.24,,
4,07-01-2024 15:19:01,22.86,10624.00,,
5,07-01-2024 15:20:01,22.91,10624.00,,
6,07-01-2024 15:21:01,22.73,10618.88,,
7,07-01-2024 15:22:01,22.65,10618.88,,
8,07-01-2024 15:23:01,22.52,10613.76,,
9,07-01-2024 15:24:01,22.48,10613.76,,
10,07-01-2024 15:25:01,22.39,10603.52,,
11,07-01-2024 15:26:01,22.31,10603.52,,
12,07-01-2024 15:27:01,22.31,10603.52,,
13,07-01-2024 15:28:01,22.26,10593.28,,
14,07-01-2024 15:29:01,22.22,10603.52,,
15,07-01-2024 15:30:01,22.13,10598.40,,
16,07-01-2024 15:31:01,22.09,10598.40,,
17,07-01-2024 15:32:01,22.09,10598.40,,
18,07-01-2024 15:33:01,22.09,10598.40,,
19,07-01-2024 15:34:01,22.05,10593.28,,
20,07-01-2024 15:35:01,22.01,10593.28,,
21,07-01-2024 15:36:01,22.01,10593.28,,
22,07-01-2024 15:37:01,22.01,10598.40,,
23,07-01-2024 15:38:01,21.96,10593.28,,
24,07-01-2024 15:39:01,21.92,10598.40,,
25,07-01-2024 15:40:01,21.92,10593.28,,
26,07-01-2024 15:41:01,21.92,10593.28,,
27,07-01-2024 15:42:01,21.96,10593.28,,
28,07-01-2024 15:43:01,21.92,10588.16,,
29,07-01-2024 15:44:01,21.92,10593.28,,
30,07-01-2024 15:45:01,21.92,10593.28,,
31,07-01-2024 15:46:01,21.92,10593.28,,
32,07-01-2024 15:47:01,21.92,10593.28,,
33,07-01-2024 15:48:01,21.92,10593.28,,
34,07-01-2024 15:49:01,21.83,10593.28,,
35,07-01-2024 15:50:01,21.83,10593.28,,
36,07-01-2024 15:51:01,21.88,10593.28,,
37,07-01-2024 15:52:01,21.88,10593.28,,
38,07-01-2024 15:53:01,21.88,10593.28,,
39,07-01-2024 15:54:01,21.88,10593.28,,
40,07-01-2024 15:55:01,21.88,10598.40,,
41,07-01-2024 15:56:01,21.88,10593.28,,
42,07-01-2024 15:57:01,21.88,10593.28,,
43,07-01-2024 15:58:01,21.88,10593.28,,
44,07-01-2024 15:59:01,21.92,10593.28,,
45,07-01-2024 16:00:01,21.83,10598.40,,
46,07-01-2024 16:01:01,21.92,10593.28,,
47,07-01-2024 16:02:01,21.88,10593.28,,
48,07-01-2024 16:03:01,21.88,10593.28,,
49,07-01-2024 16:04:01,21.88,10593.28,,
50,07-01-2024 16:05:01,21.83,10593.28,,
51,07-01-2024 16:06:01,21.83,10598.40,,
52,07-01-2024 16:07:01,21.83,10593.28,,
53,07-01-2024 16:08:01,21.88,10593.28,,
54,07-01-2024 16:09:01,21.88,10593.28,,
55,07-01-2024 16:10:01,21.88,10593.28,,
56,07-01-2024 16:11:01,21.83,10593.28,,
57,07-01-2024 16:12:01,21.83,10593.28,,
58,07-01-2024 16:13:01,21.83,10598.40,,
59,07-01-2024 16:14:01,21.88,10598.40,,
60,07-01-2024 16:15:01,21.88,10593.28,,
61,07-01-2024 16:16:01,21.88,10598.40,,
62,07-01-2024 16:17:01,21.88,10598.40,,
63,07-01-2024 16:18:01,21.88,10593.28,,
64,07-01-2024 16:19:01,21.88,10593.28,,
65,07-01-2024 16:20:01,21.83,10593.28,,
66,07-01-2024 16:21:01,21.88,10593.28,,
67,07-01-2024 16:22:01,21.83,10593.28,,
68,07-01-2024 16:23:01,21.88,10588.16,,
69,07-01-2024 16:24:01,21.83,10593.28,,
70,07-01-2024 16:25:01,21.88,10598.40,,
71,07-01-2024 16:26:01,21.88,10593.28,,
72,07-01-2024 16:27:01,21.83,10593.28,,
73,07-01-2024 16:28:01,21.83,10593.28,,
74,07-01-2024 16:29:01,21.83,10598.40,,
75,07-01-2024 16:30:01,21.83,10593.28,,
76,07-01-2024 16:31:01,21.88,10593.28,,
77,07-01-2024 16:32:01,21.92,10598.40,,
78,07-01-2024 16:33:01,21.83,10598.40,,
79,07-01-2024 16:34:01,21.79,10593.28,,
80,07-01-2024 16:35:01,21.83,10598.40,,
81,07-01-2024 16:36:01,21.66,2303.36,,
82,07-01-2024 16:37:01,21.79,0.00,,
83,07-01-2024 16:38:01,22.01,5.26,,
84,07-01-2024 16:39:01,22.01,7.00,,
85,07-01-2024 16:40:01,21.96,8.22,,
86,07-01-2024 16:41:01,22.22,1.58,,
87,07-01-2024 16:42:01,22.61,11.27,,
88,07-01-2024 16:43:01,22.73,11.27,,
89,07-01-2024 16:44:01,22.82,11.27,,
90,07-01-2024 16:45:01,22.91,11.41,,
91,07-01-2024 16:46:01,22.99,11.27,,
92,07-01-2024 16:47:01,23.03,11.27,,
93,07-01-2024 16:48:01,23.03,11.41,,
94,07-01-2024 16:49:01,23.12,11.12,,
95,07-01-2024 16:50:01,23.16,11.41,,
96,07-01-2024 16:51:01,23.21,11.41,,
97,07-01-2024 16:52:01,23.21,11.41,,
98,07-01-2024 16:53:01,23.25,11.41,,
99,07-01-2024 16:54:01,23.21,11.41,,
100,07-01-2024 16:55:01,23.34,75.82,,
101,07-01-2024 16:55:35,,,Logged,Logged
