#,Date-Time (PDT),Temperature   (°C),Light   (lux),Host Connected,End of File
1,07-01-2024 15:14:29,21.79,15667.20,,
2,07-01-2024 15:15:29,22.01,15646.72,,
3,07-01-2024 15:16:29,22.26,15636.48,,
4,07-01-2024 15:17:29,22.52,15621.12,,
5,07-01-2024 15:18:29,22.86,15600.64,,
6,07-01-2024 15:19:29,23.12,15605.76,,
7,07-01-2024 15:20:29,23.21,15595.52,,
8,07-01-2024 15:21:29,23.34,15590.40,,
9,07-01-2024 15:22:29,23.46,15575.04,,
10,07-01-2024 15:23:29,23.46,15575.04,,
11,07-01-2024 15:24:29,23.59,15575.04,,
12,07-01-2024 15:25:29,23.68,15564.80,,
13,07-01-2024 15:26:29,23.72,15564.80,,
14,07-01-2024 15:27:29,23.76,15564.80,,
15,07-01-2024 15:28:29,23.72,15559.68,,
16,07-01-2024 15:29:29,23.76,15554.56,,
17,07-01-2024 15:30:29,23.72,15554.56,,
18,07-01-2024 15:31:29,23.72,15549.44,,
19,07-01-2024 15:32:29,23.76,15554.56,,
20,07-01-2024 15:33:29,23.81,15544.32,,
21,07-01-2024 15:34:29,23.76,15549.44,,
22,07-01-2024 15:35:29,23.76,15554.56,,
23,07-01-2024 15:36:29,23.81,15554.56,,
24,07-01-2024 15:37:29,23.76,15549.44,,
25,07-01-2024 15:38:29,23.81,15549.44,,
26,07-01-2024 15:39:29,23.76,15544.32,,
27,07-01-2024 15:40:29,23.81,15544.32,,
28,07-01-2024 15:41:29,23.76,15549.44,,
29,07-01-2024 15:42:29,23.76,15544.32,,
30,07-01-2024 15:43:29,23.64,15544.32,,
31,07-01-2024 15:44:29,23.68,15544.32,,
32,07-01-2024 15:45:29,23.55,15539.20,,
33,07-01-2024 15:46:29,23.59,15539.20,,
34,07-01-2024 15:47:29,23.59,15544.32,,
35,07-01-2024 15:48:29,23.55,15544.32,,
36,07-01-2024 15:49:29,23.59,15544.32,,
37,07-01-2024 15:50:29,23.64,15539.20,,
38,07-01-2024 15:51:29,23.64,15544.32,,
39,07-01-2024 15:52:29,23.64,15544.32,,
40,07-01-2024 15:53:29,23.64,15544.32,,
41,07-01-2024 15:54:29,23.59,15539.20,,
42,07-01-2024 15:55:29,23.64,15539.20,,
43,07-01-2024 15:56:29,23.64,15544.32,,
44,07-01-2024 15:57:29,23.76,15539.20,,
45,07-01-2024 15:58:29,23.72,15544.32,,
46,07-01-2024 15:59:29,23.72,15539.20,,
47,07-01-2024 16:00:29,23.76,15544.32,,
48,07-01-2024 16:01:29,23.72,15539.20,,
49,07-01-2024 16:02:29,23.72,15544.32,,
50,07-01-2024 16:03:29,23.68,15544.32,,
51,07-01-2024 16:04:29,23.72,15539.20,,
52,07-01-2024 16:05:29,23.68,15544.32,,
53,07-01-2024 16:06:29,23.68,15544.32,,
54,07-01-2024 16:07:29,23.76,15544.32,,
55,07-01-2024 16:08:29,23.76,15544.32,,
56,07-01-2024 16:09:29,23.76,15544.32,,
57,07-01-2024 16:10:29,23.76,15549.44,,
58,07-01-2024 16:11:29,23.76,15544.32,,
59,07-01-2024 16:12:29,23.68,15544.32,,
60,07-01-2024 16:13:29,23.68,15549.44,,
61,07-01-2024 16:14:29,23.51,15544.32,,
62,07-01-2024 16:15:29,23.46,15539.20,,
63,07-01-2024 16:16:29,23.42,15544.32,,
64,07-01-2024 16:17:29,23.42,15544.32,,
65,07-01-2024 16:18:29,23.29,15544.32,,
66,07-01-2024 16:19:29,23.34,15539.20,,
67,07-01-2024 16:20:29,23.29,15544.32,,
68,07-01-2024 16:21:29,23.29,15539.20,,
69,07-01-2024 16:22:29,23.21,15544.32,,
70,07-01-2024 16:23:29,23.21,15544.32,,
71,07-01-2024 16:24:29,23.34,15544.32,,
72,07-01-2024 16:25:29,23.38,15544.32,,
73,07-01-2024 16:26:29,23.42,15539.20,,
74,07-01-2024 16:27:29,23.51,15544.32,,
75,07-01-2024 16:28:29,23.51,15549.44,,
76,07-01-2024 16:29:29,23.55,15539.20,,
77,07-01-2024 16:30:29,23.51,15544.32,,
78,07-01-2024 16:31:29,23.51,15544.32,,
79,07-01-2024 16:32:29,23.51,15544.32,,
80,07-01-2024 16:33:29,23.55,15544.32,,
81,07-01-2024 16:34:29,23.55,15549.44,,
82,07-01-2024 16:35:29,23.64,15539.20,,
83,07-01-2024 16:36:29,23.29,33.76,,
84,07-01-2024 16:37:29,23.72,2.52,,
85,07-01-2024 16:38:29,23.51,3.44,,
86,07-01-2024 16:39:29,23.03,8.37,,
87,07-01-2024 16:40:29,22.86,3.51,,
88,07-01-2024 16:41:29,23.12,4.07,,
89,07-01-2024 16:42:29,23.25,4.14,,
90,07-01-2024 16:43:29,23.29,4.00,,
91,07-01-2024 16:44:29,23.29,4.14,,
92,07-01-2024 16:45:29,23.38,4.00,,
93,07-01-2024 16:46:29,23.38,4.07,,
94,07-01-2024 16:47:29,23.42,4.00,,
95,07-01-2024 16:48:29,23.42,4.00,,
96,07-01-2024 16:49:29,23.42,4.14,,
97,07-01-2024 16:50:29,23.51,4.07,,
98,07-01-2024 16:51:29,23.51,4.14,,
99,07-01-2024 16:52:29,23.46,4.07,,
100,07-01-2024 16:53:29,23.46,4.07,,
101,07-01-2024 16:54:29,23.51,14.15,,
102,07-01-2024 16:54:56,,,Logged,Logged
