#,Date-Time (PDT),Ch:1 - Temperature   (°C),Ch:2 - RH   (%),Dew Point   (°C),Host Connected,End of File
1,06/24/2024 14:29:51,25.12,40.78,10.88,,
2,06/24/2024 14:39:51,24.56,43.26,11.27,,
3,06/24/2024 14:49:51,23.58,43.97,10.63,,
4,06/24/2024 14:59:51,21.05,49.48,10.08,,
5,06/24/2024 15:09:51,22.40,48.10,10.90,,
6,06/24/2024 15:19:51,21.17,52.45,11.08,,
7,06/24/2024 15:29:51,22.21,48.28,10.78,,
8,06/24/2024 15:39:51,20.76,49.08,9.70,,
9,06/24/2024 15:49:51,20.04,49.88,9.28,,
10,06/24/2024 15:59:51,19.55,52.03,9.45,,
11,06/24/2024 16:09:51,24.09,52.20,13.70,,
12,06/24/2024 16:19:51,21.53,51.01,10.99,,
13,06/24/2024 16:29:51,19.78,53.17,9.99,,
14,06/24/2024 16:39:51,18.86,58.95,10.68,,
15,06/24/2024 16:49:51,18.39,59.68,10.42,,
16,06/24/2024 16:59:51,18.06,61.04,10.45,,
17,06/24/2024 17:09:51,17.88,60.36,10.11,,
18,06/24/2024 17:19:51,17.80,61.20,10.24,,
19,06/24/2024 17:29:51,17.76,61.48,10.28,,
20,06/24/2024 17:39:51,17.84,61.38,10.32,,
21,06/24/2024 17:49:51,17.78,60.31,10.01,,
22,06/24/2024 17:59:51,17.65,58.44,9.41,,
23,06/24/2024 18:09:51,17.49,60.77,9.85,,
24,06/24/2024 18:19:51,17.41,64.97,10.78,,
25,06/24/2024 18:29:51,17.29,64.12,10.46,,
26,06/24/2024 18:39:51,17.14,63.14,10.09,,
27,06/24/2024 18:49:51,16.98,63.84,10.11,,
28,06/24/2024 18:59:51,16.80,65.37,10.29,,
29,06/24/2024 19:09:51,16.61,65.89,10.22,,
30,06/24/2024 19:19:51,16.44,65.96,10.08,,
31,06/24/2024 19:29:51,16.30,67.38,10.26,,
32,06/24/2024 19:39:51,16.14,68.15,10.28,,
33,06/24/2024 19:49:51,16.04,67.43,10.03,,
34,06/24/2024 19:59:51,15.91,68.73,10.18,,
35,06/24/2024 20:09:51,15.80,67.24,9.76,,
36,06/24/2024 20:19:51,15.73,71.48,10.60,,
37,06/24/2024 20:29:51,15.58,72.41,10.65,,
38,06/24/2024 20:39:51,15.43,75.16,11.07,,
39,06/24/2024 20:49:51,15.29,76.64,11.23,,
40,06/24/2024 20:59:51,15.08,76.68,11.04,,
