#,Date-Time (PDT),Light   (lux),Host Connected,End of File
1,06-09-2024 16:10:20,12902.40,,
2,06-09-2024 16:15:20,7518.72,,
3,06-09-2024 16:20:20,15221.76,,
4,06-09-2024 16:25:20,7718.40,,
5,06-09-2024 16:30:20,23848.96,,
6,06-09-2024 16:35:20,11719.68,,
7,06-09-2024 16:40:20,16435.20,,
8,06-09-2024 16:45:20,16568.32,,
9,06-09-2024 16:50:20,21637.12,,
10,06-09-2024 16:55:20,15539.20,,
11,06-09-2024 17:00:20,6453.76,,
12,06-09-2024 17:05:20,7936.00,,
13,06-09-2024 17:10:20,5757.44,,
14,06-09-2024 17:15:20,5429.76,,
15,06-09-2024 17:20:20,5322.24,,
16,06-09-2024 17:25:20,5475.84,,
17,06-09-2024 17:30:20,5468.16,,
18,06-09-2024 17:35:20,6195.20,,
19,06-09-2024 17:40:20,7088.64,,
20,06-09-2024 17:45:20,7897.60,,
21,06-09-2024 17:50:20,9274.88,,
22,06-09-2024 17:55:20,5314.56,,
23,06-09-2024 18:00:20,4848.64,,
24,06-09-2024 18:05:20,4605.44,,
25,06-09-2024 18:10:20,4533.76,,
26,06-09-2024 18:15:20,4229.12,,
27,06-09-2024 18:20:20,4079.36,,
28,06-09-2024 18:25:20,3914.24,,
29,06-09-2024 18:30:20,3728.64,,
30,06-09-2024 18:35:20,3575.04,,
31,06-09-2024 18:40:20,3435.52,,
32,06-09-2024 18:45:20,3270.40,,
33,06-09-2024 18:50:20,3128.32,,
34,06-09-2024 18:55:20,3011.84,,
35,06-09-2024 19:00:20,2910.72,,
36,06-09-2024 19:05:20,2828.80,,
37,06-09-2024 19:10:20,2741.76,,
38,06-09-2024 19:15:20,2679.04,,
39,06-09-2024 19:20:20,2630.40,,
40,06-09-2024 19:25:20,2593.92,,
41,06-09-2024 19:30:20,2490.88,,
42,06-09-2024 19:35:20,2400.64,,
43,06-09-2024 19:40:20,2338.56,,
44,06-09-2024 19:45:20,2231.04,,
45,06-09-2024 19:50:20,2126.72,,
46,06-09-2024 19:55:20,2167.68,,
47,06-09-2024 20:00:20,2013.44,,
48,06-09-2024 20:05:20,1882.88,,
49,06-09-2024 20:10:20,1781.76,,
50,06-09-2024 20:15:20,1667.84,,
51,06-09-2024 20:20:20,1548.16,,
52,06-09-2024 20:25:20,1433.60,,
53,06-09-2024 20:30:20,1310.08,,
54,06-09-2024 20:35:20,1174.72,,
55,06-09-2024 20:40:20,1044.16,,
56,06-09-2024 20:45:20,904.64,,
57,06-09-2024 20:50:20,771.20,,
58,06-09-2024 20:55:20,642.24,,
59,06-09-2024 21:00:20,516.64,,
60,06-09-2024 21:05:20,400.64,,
61,06-09-2024 21:10:20,295.84,,
62,06-09-2024 21:15:20,209.68,,
63,06-09-2024 21:20:20,139.28,,
64,06-09-2024 21:25:20,87.60,,
65,06-09-2024 21:30:20,53.10,,
66,06-09-2024 21:35:20,30.39,,
67,06-09-2024 21:40:20,16.34,,
68,06-09-2024 21:45:20,8.36,,
69,06-09-2024 21:50:20,4.27,,
70,06-09-2024 21:55:20,2.13,,
71,06-09-2024 22:00:20,0.97,,
72,06-09-2024 22:05:20,0.38,,
73,06-09-2024 22:10:20,0.19,,
74,06-09-2024 22:15:20,0.00,,
75,06-09-2024 22:20:20,0.00,,
76,06-09-2024 22:25:20,0.00,,
77,06-09-2024 22:30:20,0.00,,
78,06-09-2024 22:35:20,0.00,,
79,06-09-2024 22:40:20,0.00,,
80,06-09-2024 22:45:20,0.00,,
81,06-09-2024 22:50:20,0.00,,
82,06-09-2024 22:55:20,0.00,,
83,06-09-2024 23:00:20,0.00,,
84,06-09-2024 23:05:20,0.00,,
85,06-09-2024 23:10:20,0.00,,
86,06-09-2024 23:15:20,0.00,,
87,06-09-2024 23:20:20,0.00,,
88,06-09-2024 23:25:20,0.00,,
89,06-09-2024 23:30:20,0.00,,
90,06-09-2024 23:35:20,0.00,,
91,06-09-2024 23:40:20,0.00,,
92,06-09-2024 23:45:20,0.00,,
93,06-09-2024 23:50:20,0.00,,
94,06-09-2024 23:55:20,0.00,,
95,06-10-2024 00:00:20,0.19,,
96,06-10-2024 00:05:20,0.00,,
97,06-10-2024 00:10:20,0.00,,
98,06-10-2024 00:15:20,0.00,,
99,06-10-2024 00:20:20,0.00,,
100,06-10-2024 00:25:20,0.00,,
101,06-10-2024 00:30:20,0.00,,
102,06-10-2024 00:35:20,0.00,,
103,06-10-2024 00:40:20,0.00,,
104,06-10-2024 00:45:20,0.00,,
105,06-10-2024 00:50:20,0.00,,
106,06-10-2024 00:55:20,0.00,,
107,06-10-2024 01:00:20,0.00,,
108,06-10-2024 01:05:20,0.00,,
109,06-10-2024 01:10:20,0.00,,
110,06-10-2024 01:15:20,0.00,,
111,06-10-2024 01:20:20,0.00,,
112,06-10-2024 01:25:20,0.00,,
113,06-10-2024 01:30:20,0.00,,
114,06-10-2024 01:35:20,0.00,,
115,06-10-2024 01:40:20,0.00,,
116,06-10-2024 01:45:20,0.00,,
117,06-10-2024 01:50:20,0.00,,
118,06-10-2024 01:55:20,0.00,,
119,06-10-2024 02:00:20,0.00,,
120,06-10-2024 02:05:20,0.00,,
121,06-10-2024 02:10:20,0.00,,
122,06-10-2024 02:15:20,0.00,,
123,06-10-2024 02:20:20,0.00,,
124,06-10-2024 02:25:20,0.00,,
125,06-10-2024 02:30:20,0.00,,
126,06-10-2024 02:35:20,0.00,,
127,06-10-2024 02:40:20,0.00,,
128,06-10-2024 02:45:20,0.00,,
129,06-10-2024 02:50:20,0.00,,
130,06-10-2024 02:55:20,0.00,,
131,06-10-2024 03:00:20,0.00,,
