#,Date-Time (PST/PDT),Temperature   (°C),RH   (%),Dew Point   (°C),Host Connected,End of File
1,03-08-2024 15:11:31,10.87,62.78,4.07,,
2,03-08-2024 15:21:31,8.68,66.79,2.87,,
3,03-08-2024 15:31:31,7.84,70.32,2.78,,
4,03-08-2024 15:41:31,7.38,72.10,2.69,,
5,03-08-2024 15:51:31,7.15,74.64,2.96,,
6,03-08-2024 16:01:31,6.93,75.81,2.96,,
7,03-08-2024 16:11:31,6.74,77.78,3.15,,
8,03-08-2024 16:21:31,6.66,78.75,3.24,,
9,03-08-2024 16:31:31,6.64,79.27,3.31,,
10,03-08-2024 16:41:31,6.51,79.74,3.27,,
11,03-08-2024 16:51:31,6.34,80.56,3.25,,
12,03-08-2024 17:01:31,6.25,81.50,3.33,,
13,03-08-2024 17:11:31,6.13,81.95,3.29,,
14,03-08-2024 17:21:31,6.05,82.09,3.23,,
15,03-08-2024 17:31:31,5.97,82.01,3.14,,
16,03-08-2024 17:41:31,5.92,82.39,3.15,,
17,03-08-2024 17:51:31,5.94,82.59,3.21,,
18,03-08-2024 18:01:31,5.89,83.38,3.29,,
19,03-08-2024 18:11:31,5.91,83.76,3.38,,
20,03-08-2024 18:21:31,5.87,84.65,3.49,,
21,03-08-2024 18:31:31,5.80,85.28,3.53,,
22,03-08-2024 18:41:31,5.72,85.68,3.52,,
23,03-08-2024 18:51:31,5.70,85.43,3.46,,
24,03-08-2024 19:01:31,5.72,85.08,3.42,,
25,03-08-2024 19:11:31,5.71,84.70,3.34,,
26,03-08-2024 19:21:31,5.75,84.04,3.26,,
27,03-08-2024 19:31:31,5.84,83.04,3.19,,
28,03-08-2024 19:41:31,5.86,82.10,3.05,,
29,03-08-2024 19:51:31,5.92,81.60,3.02,,
30,03-08-2024 20:01:31,5.94,81.61,3.04,,
31,03-08-2024 20:11:31,5.94,81.65,3.05,,
32,03-08-2024 20:21:31,5.76,83.75,3.23,,
33,03-08-2024 20:31:31,5.63,84.72,3.26,,
34,03-08-2024 20:41:31,5.62,85.54,3.39,,
35,03-08-2024 20:51:31,5.55,86.44,3.47,,
36,03-08-2024 21:01:31,5.52,86.51,3.45,,
37,03-08-2024 21:11:31,5.46,86.73,3.43,,
38,03-08-2024 21:21:31,5.39,86.74,3.37,,
39,03-08-2024 21:31:31,5.33,87.82,3.48,,
40,03-08-2024 21:41:31,5.35,88.68,3.64,,
41,03-08-2024 21:51:31,5.26,89.09,3.62,,
42,03-08-2024 22:01:31,5.26,89.16,3.63,,
43,03-08-2024 22:11:31,5.23,89.78,3.69,,
44,03-08-2024 22:21:31,5.21,89.50,3.63,,
45,03-08-2024 22:31:31,5.18,89.87,3.66,,
46,03-08-2024 22:41:31,5.23,89.66,3.67,,
47,03-08-2024 22:51:31,5.18,89.88,3.66,,
48,03-08-2024 23:01:31,5.19,89.66,3.63,,
49,03-08-2024 23:11:31,5.26,88.61,3.54,,
50,03-08-2024 23:21:31,5.27,88.86,3.59,,
51,03-08-2024 23:31:31,5.33,87.89,3.49,,
52,03-08-2024 23:41:31,5.35,87.67,3.47,,
53,03-08-2024 23:51:31,5.42,87.63,3.54,,
54,03-09-2024 00:01:31,5.46,87.54,3.56,,
55,03-09-2024 00:11:31,5.55,86.90,3.55,,
56,03-09-2024 00:21:31,5.65,86.08,3.51,,
57,03-09-2024 00:31:31,5.63,86.36,3.54,,
58,03-09-2024 00:41:31,5.68,86.33,3.58,,
59,03-09-2024 00:51:31,5.68,87.37,3.75,,
60,03-09-2024 01:01:31,5.71,86.72,3.68,,
61,03-09-2024 01:11:31,5.81,86.17,3.68,,
62,03-09-2024 01:21:31,5.87,85.52,3.64,,
63,03-09-2024 01:31:31,6.02,84.64,3.64,,
64,03-09-2024 01:41:31,6.08,83.83,3.56,,
65,03-09-2024 01:51:31,6.00,85.18,3.71,,
66,03-09-2024 02:01:31,5.93,85.46,3.68,,
67,03-09-2024 02:11:31,5.95,85.27,3.67,,
68,03-09-2024 02:21:31,5.90,85.49,3.66,,
69,03-09-2024 02:31:31,5.97,85.16,3.67,,
70,03-09-2024 02:41:31,6.11,83.16,3.47,,
71,03-09-2024 02:51:31,6.17,83.66,3.62,,
72,03-09-2024 03:01:31,6.17,83.00,3.51,,
73,03-09-2024 03:11:31,6.22,82.93,3.54,,
74,03-09-2024 03:21:31,6.16,83.27,3.55,,
75,03-09-2024 03:31:31,6.16,83.74,3.62,,
76,03-09-2024 03:41:31,6.07,84.18,3.60,,
77,03-09-2024 03:51:31,5.93,85.22,3.64,,
78,03-09-2024 04:01:31,5.89,85.82,3.70,,
79,03-09-2024 04:11:31,5.82,85.32,3.55,,
80,03-09-2024 04:21:31,5.78,85.78,3.59,,
81,03-09-2024 04:31:31,5.76,84.79,3.40,,
82,03-09-2024 04:41:31,5.68,85.08,3.38,,
83,03-09-2024 04:51:31,5.75,83.73,3.21,,
84,03-09-2024 05:01:31,5.76,84.01,3.27,,
85,03-09-2024 05:11:31,5.76,83.18,3.13,,
86,03-09-2024 05:21:31,5.80,82.14,2.99,,
87,03-09-2024 05:31:31,5.87,81.89,3.03,,
88,03-09-2024 05:41:31,5.84,82.19,3.04,,
89,03-09-2024 05:51:31,5.94,80.09,2.78,,
90,03-09-2024 06:01:31,6.08,78.59,2.65,,
91,03-09-2024 06:11:31,6.29,77.39,2.64,,
92,03-09-2024 06:21:31,6.33,76.89,2.58,,
93,03-09-2024 06:31:31,6.41,75.79,2.46,,
94,03-09-2024 06:41:31,6.53,73.13,2.07,,
95,03-09-2024 06:51:31,6.67,72.83,2.15,,
96,03-09-2024 07:01:31,6.78,73.33,2.35,,
