#,Date-Time (PDT),Temperature   (°C),RH   (%),Dew Point   (°C),Button Down,Host Connected,End of File
1,09-05-2024 15:12:01,25.23,55.40,15.68,,,
2,09-05-2024 15:17:01,26.01,52.52,15.56,,,
3,09-05-2024 15:22:01,26.19,51.61,15.47,,,
4,09-05-2024 15:27:01,26.28,51.03,15.37,,,
5,09-05-2024 15:32:01,26.33,50.57,15.27,,,
6,09-05-2024 15:37:01,26.37,50.33,15.24,,,
7,09-05-2024 15:42:01,26.41,50.06,15.19,,,
8,09-05-2024 15:47:01,26.43,49.89,15.15,,,
9,09-05-2024 15:52:01,26.44,49.76,15.12,,,
10,09-05-2024 15:57:01,26.46,49.66,15.11,,,
11,09-05-2024 16:02:01,26.47,49.54,15.08,,,
12,09-05-2024 16:07:01,26.49,49.43,15.06,,,
13,09-05-2024 16:12:01,26.50,49.16,14.99,,,
14,09-05-2024 16:17:01,26.51,49.02,14.95,,,
15,09-05-2024 16:22:01,26.52,48.86,14.91,,,
16,09-05-2024 16:27:01,26.52,48.61,14.83,,,
17,09-05-2024 16:32:01,26.52,48.38,14.75,,,
18,09-05-2024 16:37:01,26.52,48.16,14.69,,,
19,09-05-2024 16:42:01,26.53,48.00,14.65,,,
20,09-05-2024 16:47:01,26.53,47.84,14.59,,,
21,09-05-2024 16:52:01,26.53,47.80,14.58,,,
22,09-05-2024 16:57:01,26.53,47.70,14.55,,,
23,09-05-2024 17:02:01,26.54,47.56,14.51,,,
24,09-05-2024 17:07:01,26.54,47.43,14.46,,,
25,09-05-2024 17:12:01,26.65,47.29,14.53,,,
26,09-05-2024 17:17:01,25.62,46.77,13.42,,,
27,09-05-2024 17:22:01,22.61,54.04,12.86,,,
28,09-05-2024 17:27:01,21.15,58.52,12.72,,,
29,09-05-2024 17:32:01,20.47,60.94,12.70,,,
30,09-05-2024 17:37:01,20.16,61.87,12.64,,,
31,09-05-2024 17:42:01,19.96,62.83,12.68,,,
32,09-05-2024 17:47:01,19.88,63.11,12.68,,,
33,09-05-2024 17:52:01,19.84,63.36,12.70,,,
34,09-05-2024 17:57:01,19.83,63.36,12.68,,,
35,09-05-2024 18:02:01,19.59,54.53,10.20,,,
36,09-05-2024 18:07:01,18.40,62.74,11.18,,,
37,09-05-2024 18:12:01,17.49,57.25,8.96,,,
38,09-05-2024 18:17:01,16.34,62.99,9.30,,,
39,09-05-2024 18:22:01,15.91,63.95,9.12,,,
40,09-05-2024 18:27:01,15.80,64.36,9.11,,,
41,09-05-2024 18:32:01,15.79,64.78,9.19,,,
42,09-05-2024 18:37:01,15.76,64.53,9.10,,,
43,09-05-2024 18:42:01,15.73,64.68,9.11,,,
44,09-05-2024 18:47:01,15.71,64.80,9.12,,,
45,09-05-2024 18:52:01,15.73,64.80,9.13,,,
46,09-05-2024 18:57:01,15.73,64.59,9.09,,,
47,09-05-2024 19:02:01,15.55,57.93,7.31,,,
48,09-05-2024 19:07:01,14.50,64.78,7.96,,,
49,09-05-2024 19:12:01,13.99,64.04,7.31,,,
50,09-05-2024 19:17:01,13.80,64.99,7.34,,,
51,09-05-2024 19:22:01,13.73,65.42,7.37,,,
52,09-05-2024 19:27:01,13.69,65.63,7.38,,,
53,09-05-2024 19:32:01,13.69,65.59,7.37,,,
54,09-05-2024 19:37:01,13.70,65.51,7.37,,,
55,09-05-2024 19:42:01,13.69,65.49,7.35,,,
56,09-05-2024 19:47:01,13.69,65.51,7.36,,,
57,09-05-2024 19:52:01,13.05,60.59,5.62,,,
58,09-05-2024 19:57:01,12.25,65.79,6.05,,,
59,09-05-2024 20:02:01,11.91,66.20,5.82,,,
60,09-05-2024 20:07:01,11.75,66.52,5.73,,,
61,09-05-2024 20:12:01,11.68,66.91,5.75,,,
62,09-05-2024 20:17:01,11.66,67.11,5.77,,,
63,09-05-2024 20:22:01,11.64,67.22,5.78,,,
64,09-05-2024 20:27:01,11.65,66.99,5.74,,,
65,09-05-2024 20:32:01,11.65,67.18,5.78,,,
66,09-05-2024 20:37:01,11.63,67.12,5.75,,,
67,09-05-2024 20:42:01,11.63,66.84,5.69,,,
68,09-05-2024 20:47:01,11.62,67.14,5.75,,,
69,09-05-2024 20:52:01,11.63,67.24,5.78,,,
70,09-05-2024 20:57:01,11.64,67.06,5.74,,,
71,09-05-2024 21:02:01,11.63,67.07,5.74,,,
72,09-05-2024 21:07:01,11.62,67.10,5.74,,,
73,09-05-2024 21:12:01,11.62,67.14,5.74,,,
74,09-05-2024 21:17:01,11.61,66.97,5.69,,,
75,09-05-2024 21:22:01,11.62,66.94,5.70,,,
76,09-05-2024 21:27:01,11.62,67.01,5.71,,,
77,09-05-2024 21:32:01,11.63,66.94,5.71,,,
78,09-05-2024 21:37:01,11.64,66.89,5.71,,,
79,09-05-2024 21:42:01,11.63,66.88,5.70,,,
80,09-05-2024 21:47:01,11.63,66.67,5.65,,,
81,09-05-2024 21:52:01,11.61,66.59,5.61,,,
82,09-05-2024 21:57:01,11.62,66.75,5.66,,,
83,09-05-2024 22:02:01,11.64,66.69,5.66,,,
84,09-05-2024 22:07:01,11.66,66.37,5.61,,,
85,09-05-2024 22:12:01,11.64,66.50,5.62,,,
86,09-05-2024 22:17:01,11.64,66.37,5.60,,,
87,09-05-2024 22:22:01,11.64,66.47,5.62,,,
88,09-05-2024 22:27:01,11.64,66.36,5.59,,,
89,09-05-2024 22:32:01,11.63,66.33,5.58,,,
90,09-05-2024 22:37:01,11.62,66.41,5.59,,,
91,09-05-2024 22:42:01,11.62,66.36,5.57,,,
92,09-05-2024 22:47:01,11.62,66.55,5.61,,,
93,09-05-2024 22:52:01,11.62,66.34,5.57,,,
94,09-05-2024 22:57:01,11.62,66.37,5.58,,,
95,09-05-2024 23:02:01,11.62,66.50,5.60,,,
96,09-05-2024 23:07:01,11.61,66.35,5.56,,,
97,09-05-2024 23:12:01,11.62,66.27,5.55,,,
98,09-05-2024 23:17:01,11.63,66.29,5.57,,,
99,09-05-2024 23:22:01,11.66,66.05,5.55,,,
100,09-05-2024 23:27:01,11.65,66.21,5.57,,,
101,09-05-2024 23:32:01,11.65,66.08,5.54,,,
102,09-05-2024 23:37:01,11.63,66.00,5.51,,,
103,09-05-2024 23:42:01,11.62,66.10,5.51,,,
104,09-05-2024 23:47:01,11.61,66.20,5.53,,,
105,09-05-2024 23:52:01,11.60,66.23,5.53,,,
106,09-05-2024 23:57:01,11.61,65.99,5.48,,,
107,09-06-2024 00:02:01,11.60,66.02,5.48,,,
108,09-06-2024 00:07:01,11.61,65.91,5.46,,,
109,09-06-2024 00:12:01,11.61,65.96,5.47,,,
110,09-06-2024 00:17:01,11.62,66.18,5.53,,,
111,09-06-2024 00:22:01,11.62,66.59,5.62,,,
112,09-06-2024 00:27:01,11.61,66.58,5.61,,,
113,09-06-2024 00:32:01,11.62,66.38,5.57,,,
114,09-06-2024 00:37:01,11.62,66.35,5.58,,,
115,09-06-2024 00:42:01,11.63,66.40,5.59,,,
116,09-06-2024 00:47:01,11.62,66.49,5.60,,,
117,09-06-2024 00:52:01,11.62,66.35,5.57,,,
118,09-06-2024 00:57:01,11.62,66.57,5.62,,,
119,09-06-2024 01:02:01,11.62,66.34,5.57,,,
120,09-06-2024 01:07:01,11.62,66.49,5.60,,,
121,09-06-2024 01:12:01,11.63,66.36,5.59,,,
122,09-06-2024 01:17:01,11.64,66.34,5.59,,,
123,09-06-2024 01:22:01,11.64,66.40,5.60,,,
124,09-06-2024 01:27:01,11.63,66.36,5.59,,,
125,09-06-2024 01:32:01,11.63,66.21,5.55,,,
126,09-06-2024 01:37:01,11.63,66.25,5.56,,,
127,09-06-2024 01:42:01,11.62,66.17,5.54,,,
128,09-06-2024 01:47:01,11.62,66.17,5.53,,,
129,09-06-2024 01:52:01,11.62,66.31,5.56,,,
130,09-06-2024 01:57:01,11.62,66.31,5.56,,,
131,09-06-2024 02:02:01,11.62,66.28,5.55,,,
132,09-06-2024 02:07:01,11.62,66.18,5.53,,,
133,09-06-2024 02:12:01,11.62,66.31,5.56,,,
134,09-06-2024 02:17:01,11.61,66.19,5.53,,,
135,09-06-2024 02:22:01,11.62,66.16,5.53,,,
136,09-06-2024 02:27:01,11.61,66.28,5.54,,,
137,09-06-2024 02:32:01,11.62,66.04,5.50,,,
138,09-06-2024 02:37:01,11.61,66.28,5.55,,,
139,09-06-2024 02:42:01,11.61,66.10,5.51,,,
140,09-06-2024 02:47:01,11.62,66.14,5.52,,,
141,09-06-2024 02:52:01,11.61,66.30,5.55,,,
142,09-06-2024 02:57:01,11.62,66.14,5.53,,,
143,09-06-2024 03:02:01,11.62,66.29,5.56,,,
144,09-06-2024 03:07:01,11.63,66.02,5.51,,,
145,09-06-2024 03:12:01,11.62,66.15,5.53,,,
146,09-06-2024 03:17:01,11.62,65.99,5.50,,,
147,09-06-2024 03:22:01,11.61,66.21,5.53,,,
148,09-06-2024 03:27:01,11.62,66.24,5.54,,,
149,09-06-2024 03:32:01,11.62,65.98,5.49,,,
150,09-06-2024 03:37:01,11.61,66.22,5.53,,,
151,09-06-2024 03:42:01,11.62,66.18,5.53,,,
152,09-06-2024 03:47:01,11.62,65.98,5.49,,,
153,09-06-2024 03:52:01,11.62,66.10,5.51,,,
154,09-06-2024 03:57:01,11.62,66.18,5.54,,,
155,09-06-2024 04:02:01,11.63,66.19,5.55,,,
156,09-06-2024 04:07:01,11.63,66.06,5.52,,,
157,09-06-2024 04:12:01,11.63,66.01,5.51,,,
158,09-06-2024 04:17:01,11.62,66.09,5.52,,,
159,09-06-2024 04:22:01,11.64,66.20,5.56,,,
160,09-06-2024 04:27:01,11.63,65.99,5.51,,,
161,09-06-2024 04:32:01,11.62,66.08,5.51,,,
162,09-06-2024 04:37:01,11.62,66.16,5.53,,,
163,09-06-2024 04:42:01,11.61,66.13,5.51,,,
164,09-06-2024 04:47:01,11.62,66.02,5.50,,,
165,09-06-2024 04:52:01,11.61,66.20,5.53,,,
166,09-06-2024 04:57:01,11.61,66.02,5.49,,,
167,09-06-2024 05:02:01,11.60,66.16,5.51,,,
168,09-06-2024 05:07:01,11.62,66.15,5.53,,,
169,09-06-2024 05:12:01,11.62,66.09,5.52,,,
170,09-06-2024 05:17:01,11.62,66.04,5.50,,,
171,09-06-2024 05:22:01,11.62,66.29,5.55,,,
