tree_ID,bloc,treatment,genus,species,Note,248_1,248_2,248_3,248_percent,255_1,255_2,255_3,255_percent,262_1,262_2,262_3,262_percent,269_1,269_2,269_3,269_percent,276_1,276_2,276_3,276_percent,283_1,283_2,283_3,283_percent,290_1,290_2,290_3,290_percent,297_1,297_2,297_3,297_percent,304_1,304_2,304_3,304_percent,311_1,311_2,311_3,311_percent,318_1,318_2,318_3,318_percent
Acne_CoolS/CoolF_B1_R1,1,CoolS/CoolF,acer,acer_negundo,doy283: no green leaves; doy290: last leaves fell,9.9,7.9,8.8,60,9.3,7.6,9.3,60,3.3,9.9,8.2,50,7,6.7,1.7,40,9.6,8.3,10.7,10,na,na,na,0,na,na,na,0,na,na,na,0,na,na,na,0,na,na,na,0,,,,
Acne_CoolS/CoolF_B1_R2,1,CoolS/CoolF,acer,acer_negundo,doy283: no green leaves; doy290: last leaves fell,8.5,8.8,4.2,40,8.9,3.8,3.1,40,4,7.7,8.3,30,7,4.1,1.2,30,8.8,2.4,3.5,5,na,na,na,0,na,na,na,0,na,na,na,0,na,na,na,0,na,na,na,0,,,,
Acne_CoolS/CoolF_B1_R3,1,CoolS/CoolF,acer,acer_negundo,doy283: no green leaves; doy290: last leaves fell,11.7,8.9,6.8,60,3.3,5.9,5.8,60,3,1.8,7.2,40,1.5,1.8,1.7,10,na,na,na,0,na,na,na,0,na,na,na,0,na,na,na,0,na,na,na,0,na,na,na,0,,,,
Acne_CoolS/CoolF_B1_R4,1,CoolS/CoolF,acer,acer_negundo,doy255: previous measuremt percent wrong; doy283: last leaves fell,7.7,3.7,9.7,30,2.7,10.6,3.7,50,2.1,8.6,7.7,50,6.2,5.1,3.7,30,6.4,3,2,10,na,na,na,0,na,na,na,0,na,na,na,0,na,na,na,0,na,na,na,0,,,,
Acne_CoolS/CoolF_B1_R5,1,CoolS/CoolF,acer,acer_negundo,doy283: last leaves fell,8,9.9,6.7,30,7.4,2.9,8.7,30,1.4,3.7,6.2,20,4.2,2.1,2.9,20,0.9,2.1,3.6,5,na,na,na,0,na,na,na,0,na,na,na,0,na,na,na,0,na,na,na,0,,,,
Acne_CoolS/CoolF_B2_R6,2,CoolS/CoolF,acer,acer_negundo,doy255: previous measurement percent wrong; doy290: last leaves fell,4.7,6.3,5.9,30,4.4,6.5,3.3,60,7.5,2.9,4.9,60,2.4,3.8,2.4,30,14.4,3.5,12.6,10,7.6,3.7,3.5,5,na,na,na,0,na,na,na,0,na,na,na,0,na,na,na,0,,,,
Acne_CoolS/CoolF_B2_R7,2,CoolS/CoolF,acer,acer_negundo,doy276: last leaves fell,4.4,5.7,4.3,40,2.5,1.5,1.2,40,2.9,1.5,1.6,20,1.2,1.2,1.8,5,na,na,na,0,na,na,na,0,na,na,na,0,na,na,na,0,na,na,na,0,na,na,na,0,,,,
Acne_CoolS/CoolF_B2_R8,2,CoolS/CoolF,acer,acer_negundo,doy283: no green leaves; doy290: last leaves fell,4.5,2.8,4,20,6.7,5.1,1.3,20,3.3,2.3,6.5,20,4.4,6.4,1.1,20,8,14.9,17.8,10,na,na,na,0,na,na,na,0,na,na,na,0,na,na,na,0,na,na,na,0,,,,
Acne_CoolS/CoolF_B2_R9,2,CoolS/CoolF,acer,acer_negundo,doy283: no green leaves; doy290: last leaves fell,10.4,6.3,5.5,60,6.6,4.1,1.6,50,6.3,1.4,1.3,40,6.7,6.4,5.3,30,8.9,3.9,8.1,10,na,na,na,0,na,na,na,0,na,na,na,0,na,na,na,0,na,na,na,0,,,,
Acne_CoolS/CoolF_B2_R10,2,CoolS/CoolF,acer,acer_negundo,doy276: no green leaves; doy283: last leaves fell,4.9,1.3,5.9,70,4.5,3.2,6.1,70,4.6,5.6,4.7,50,1.8,1.2,1.2,10,na,na,na,0,na,na,na,0,na,na,na,0,na,na,na,0,na,na,na,0,na,na,na,0,,,,
