Day of year,Time,Temperature,Humidity,CO2,Light 1,Light 2,Light 3,Light 4,Auxiliary 1,Auxiliary 2,Auxiliary 3,Auxiliary 4,Fan Speed
1,5:34:00,8,0,0,10,0,0,0,0,0,0,0,70
1,6:00:00,10,0,0,30,0,0,0,0,0,0,0,70
1,7:00:00,12,0,0,50,0,0,0,0,0,0,0,70
1,8:00:00,14,0,0,70,0,0,0,0,0,0,0,70
1,9:00:00,16,0,0,90,0,0,0,0,0,0,0,70
1,10:00:00,18,0,0,100,0,0,0,0,0,0,0,70
1,11:00:00,20,0,0,100,0,0,0,0,0,0,0,70
1,12:00:00,22,0,0,100,0,0,0,0,0,0,0,70
1,13:00:00,22,0,0,100,0,0,0,0,0,0,0,70
1,14:00:00,22,0,0,100,0,0,0,0,0,0,0,70
1,15:00:00,18,0,0,100,0,0,0,0,0,0,0,70
1,16:00:00,16,0,0,80,0,0,0,0,0,0,0,70
1,17:00:00,14,0,0,60,0,0,0,0,0,0,0,70
1,18:00:00,12,0,0,40,0,0,0,0,0,0,0,70
1,18:09:00,10,0,0,20,0,0,0,0,0,0,0,70
1,18:48:00,8,0,0,0,0,0,0,0,0,0,0,70
