Totem Field Climate Station
(c) Biometeorology Group - Faculty of Land and Food Systems, UBC

Date,Tair_max,Tair_min,Precipitation_total
"",degC,degC,mm/day
01-Jan-1994,   9.1,   7.3,   0.0
02-Jan-1994,   9.7,   6.3,   0.0
03-Jan-1994,   7.5,   5.5,   0.0
04-Jan-1994,   9.7,   6.6,   0.0
05-Jan-1994,   8.6,   4.5,   0.0
06-Jan-1994,   6.8,   2.9,   0.0
07-Jan-1994,   6.1,   4.0,   0.0
08-Jan-1994,   6.4,   4.2,   0.0
09-Jan-1994,   8.9,   5.8,   0.0
10-Jan-1994,   7.1,   5.6,   0.0
11-Jan-1994,   8.1,   5.8,   0.0
12-Jan-1994,   8.9,   7.7,   0.0
13-Jan-1994,  10.0,   8.7,   8.6
14-Jan-1994,   9.7,   6.0,   0.0
15-Jan-1994,   9.8,   6.7,   0.0
16-Jan-1994,   8.2,   6.8,   0.0
17-Jan-1994,   8.6,   6.0,   0.0
18-Jan-1994,   7.0,   5.4,   0.0
19-Jan-1994,   7.9,   3.7,   0.0
20-Jan-1994,   7.7,   3.7,   0.0
21-Jan-1994,  11.5,   5.3,   0.0
22-Jan-1994,  11.8,   8.6,   0.0
23-Jan-1994,  11.4,   8.4,   0.0
24-Jan-1994,   8.6,   6.2,   0.0
25-Jan-1994,   7.6,   6.4,   0.0
26-Jan-1994,   7.4,   6.0,   0.0
27-Jan-1994,   8.8,   5.2,   0.0
28-Jan-1994,   8.0,   3.1,   0.8
29-Jan-1994,   5.0,   1.7,   0.0
30-Jan-1994,   6.2,   1.4,   0.0
31-Jan-1994,   5.7,   0.3,   0.0
01-Feb-1994,   4.8,  -0.8,   0.3
02-Feb-1994,   3.4,   0.5,   0.0
03-Feb-1994,   4.8,   1.6,   0.0
04-Feb-1994,   5.4,   1.1,   0.0
05-Feb-1994,   4.1,   0.4,   0.0
06-Feb-1994,   4.1,   1.8,   0.5
07-Feb-1994,   4.0,  -3.1,   0.0
08-Feb-1994,   0.5,  -3.8,   0.0
09-Feb-1994,   5.0,  -0.8,   9.4
10-Feb-1994,   5.6,   1.4,   4.6
11-Feb-1994,   4.8,   1.7,   3.3
12-Feb-1994,   6.8,   5.0,  16.0
13-Feb-1994,   5.9,   3.2,   3.8
14-Feb-1994,   7.2,   3.1,   6.6
15-Feb-1994,   8.6,   5.6,   4.3
16-Feb-1994,   8.8,   5.5,  18.0
17-Feb-1994,   7.5,   5.1,  16.0
18-Feb-1994,   7.7,   3.3,   0.0
19-Feb-1994,   7.8,   2.2,   0.0
20-Feb-1994,   6.8,   3.1,   3.6
21-Feb-1994,   6.1,   1.7,   8.9
22-Feb-1994,   5.5,   2.1,   6.1
23-Feb-1994,   5.5,   1.4,   0.0
24-Feb-1994,   2.1,  -1.8,   0.0
25-Feb-1994,   3.9,  -1.5,  13.0
26-Feb-1994,   6.7,   3.8,   9.4
27-Feb-1994,   8.6,   5.7,   8.9
28-Feb-1994,  11.0,   7.9,  12.2
